,GDP_water_all,perc_fff,d_plan,w_plan,base_w_stress,invest,tax_break,corruption,perc_vote,innovate,climate_real,hs_ed,pop_dens,w_quality,debt,flood_pop,flood_build,flood_car,impervious,beds_1000,alone_65,child_5,health_ins,older_1999,mobile_home,rent_50plus,trees,heating,disabled,poverty,older_1979,work_outside,no_car,pop_under_1ft,pop_under_3ft,impact_plus1ft,impact_plus3ft,lat,long,city_km2,pop_2015,median_income
191,17.66200426,0.04638406,0,0,0.0,21,2,3,0.6629466070000001,0.001540219,42,6.5,1479.583119,6,1001.55,15.33,17.34,5.031870958,46.98436805,4.959277331,6.145068599999999,5.8,87.1,81.67,0.5,18.5,11.24393791,0.998,6.7,4.3314699999999995,21.3,5.79,3.3,0.0,0.0,0.0,0.0,33.0198,-96.6989,186.2990977,275645,83793
192,10.45625624,0.065848589,0,0,2.7650918630000003,15,0,53,0.47656714200000005,0.000361114,48,32.5,2560.386208,0,2140.53,28.61,31.92,17.71856389,40.98288231,9.858124716,6.033826,7.4,78.5,92.59,4.3,34.0,4.691449927,0.887,8.6,15.927675400000002,69.4,19.3,7.6,0.0,0.0,0.0,0.0,34.0551,-117.75,59.26957406,151753,49186
194,5.460001635,0.444351664,0,0,5.0,17,0,42,0.805030582,9.719999999999999e-05,41,12.8,559.7413687999999,12,2942.83,8.44,8.48,9.030580537,14.34094254,1.8540690709999998,10.7276135,5.5,81.6,53.31,1.2,30.0,22.26264491,0.99,14.8,13.75019,10.3,12.46,3.9,2.47247957,3.358247992,0.005982912,0.009137262,27.273000000000003,-80.3582,307.38124710000005,172054,49813
195,0.32954515300000004,0.13814082,1,0,5.0,20,2,4,1.027196936,0.000307564,42,7.5,1190.7660130000002,0,4227.92,2.09,2.34,9.072151113,32.56736849,13.03955482,10.929977800000001,5.1,88.8,88.75,0.3,26.4,36.506018100000006,0.998,12.4,21.7835918,80.1,9.49,18.1,0.9821025720000001,1.415250414,0.018186729,0.020748436999999998,43.6615,-70.2553,55.83800619,66490,46280
196,27.42151207,0.300030003,0,1,3.1151212669999997,21,1,3,0.51549329,0.000415139,53,8.7,1625.75002,0,3386.16,16.75,17.68,12.97595711,43.7957905,3.474320735,8.981103,5.8,87.7,87.15,1.5,27.5,23.85413703,0.995,12.5,20.4578092,73.0,8.48,14.8,2.298082672,2.320624104,0.000935345,0.0009526560000000001,45.5231,-112.6765,376.5683483,612206,55003
197,1.602409332,0.376738556,0,0,1.27728685,14,0,3,0.28932899,0.00019985400000000001,47,25.8,3702.7820020000004,0,2435.96,13.41,12.33,20.24497285,68.90384722,9.973136333,8.4513915,6.2,83.5,93.82,0.1,28.8,14.96832529,0.993,12.3,32.7190514,84.2,12.55,19.7,3.439668681,5.424222072999999,0.004343764,0.004457686,41.824,-71.4128,48.25560886,178680,37501
198,11.97431316,0.24835994600000003,1,0,2.8450789960000002,20,0,0,0.395837483,0.000717447,39,9.5,1018.88715,0,872.74,4.51,4.77,13.66298918,22.57495535,3.5285447999999997,4.171537600000001,8.4,85.5,85.68,2.3,26.5,18.90626795,0.9990000000000001,7.7,11.053344000000001,52.1,11.18,4.4,0.0,0.0,0.0,0.0,40.2338,-111.6585,113.2068453,115345,41291
199,17.47512438,0.166888623,0,0,5.0,0,0,0,0.633865847,0.00011144200000000001,44,14.7,795.9775815,0,736.68,8.82,8.46,4.215793884,28.7354718,7.198837823,14.085874800000003,6.6,87.6,89.32,2.8,28.5,4.101377073,0.9940000000000001,20.1,24.398252,76.0,13.01,12.1,0.0,0.0,0.0,0.0,38.2544,-104.6091,135.7739244,108073,34550
200,16.37494059,0.40483890299999997,0,1,5.0,21,0,4,0.867432955,0.001533782,42,9.5,1168.746039,11,1489.75,4.76,4.34,8.873359136,21.31045932,3.770923888,6.9820269,6.6,86.2,68.98,1.3,23.9,47.52132573,0.998,8.2,10.1381731,29.9,8.89,6.1,0.0,0.0,0.0,0.0,35.7796,-78.6382,370.0718424,432520,55398
201,11.19193384,0.093215996,0,0,5.0,0,0,53,0.561993008,0.000103591,47,9.0,1670.338186,0,2476.86,6.05,6.52,3.623777451,39.49282676,0.320031654,6.178493799999999,5.9,89.9,73.33,2.5,29.3,3.64617503,0.993,8.5,7.2212165,31.1,7.8,3.8,0.0,0.0,0.0,0.0,34.1064,-117.5931,102.88814649999999,171858,77396
