City,Geo_ID,Latitutde,Longitude,State,Flood Instances,Flood Injuries Direct,Flood Injuries Indirect,Total Flood Injuries,Flood Deaths Direct,Flood Deaths Indirect,Total Flood Deaths0,Flood Damage,Heat Instances,Heat Injuries Direct,Heat Injuries Indirect,Total Heat Injuries,Heat Deaths Direct,Heat Deaths Indirect,Total Heat Deaths,Heat Damage,Cold Instances,Cold Injuries Direct,Cold Injuries Indirect,Total Cold Injuries,Cold Deaths Direct,Cold Deaths Indirect,Total Cold Deaths,Cold Damage,Coastal Flood Instances,Coastal Flood Injuries Direct,Coastal Flood Injuries Indirect,Total Coastal Flood Injuries,Coastal Flood Deaths Direct,Coastal Flood Deaths Indirect,Total Coastal Flood Deaths,Coastal Flood Damage
Detroit,1600000US2622000,42.3314,-83.0458,Michigan,13,0,0,0,0,0,0,62401672,6,46,0,46,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Grand Rapids,1600000US2634000,42.9634,-85.6681,Michigan,4,0,0,0,0,0,0,122722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lansing,1600000US2646000,42.7325,-84.5555,Michigan,4,0,0,0,0,0,0,1980866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterling Heights,1600000US2676460,42.5803,-83.0302,Michigan,4,0,0,0,0,0,0,186700156,5,6,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,1600000US2684000,42.5145,-83.0147,Michigan,1,0,0,0,0,0,0,0,5,6,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minneapolis,1600000US2743000,44.9778,-93.265,Minnesota,8,0,0,0,0,0,0,425326,5,9,0,9,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rochester,1600000US2754880,44.0121,-92.4802,Minnesota,19,0,0,0,0,0,0,591473,4,0,0,0,0,0,0,0,11,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
St. Paul,1600000US2758000,44.9537,-93.09,Minnesota,6,0,0,0,0,0,0,4300000,4,0,0,0,0,0,0,0,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Jackson,1600000US2836000,32.2988,-90.1848,Mississippi,48,0,0,0,0,0,0,984312,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,387126,0,0,0,0,0,0,0,0
Columbia,1600000US2915670,38.9517,-92.3341,Missouri,5,0,0,0,0,0,0,11185247,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence,1600000US2935000,39.0911,-94.4155,Missouri,4,0,0,0,0,0,0,0,6,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City,1600000US2938000,39.0997,-94.5786,Missouri,37,0,0,0,0,0,0,25000,6,0,0,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Springfield,1600000US2970000,37.209,-93.2923,Missouri,71,0,0,0,0,0,0,12398316,6,156,34,190,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis,1600000US2965000,38.627,-90.1994,Missouri,9,0,0,0,0,0,0,112092,37,445,0,445,23,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billings,1600000US3006550,45.7833,-108.5007,Montana,4,0,0,0,0,0,0,1976671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,1600000US3128000,40.8258,-96.6852,Nebraska,8,0,0,0,0,0,0,30029267,13,0,2,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omaha,1600000US3137000,41.2524,-95.998,Nebraska,23,0,0,0,0,0,0,473179,14,45,10,55,1,0,1,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Henderson,1600000US3231900,36.0395,-114.9817,Nevada,13,0,0,0,1,0,1,148563,64,38,0,38,5,2,7,1427,10,0,0,0,0,0,0,490753,0,0,0,0,0,0,0,0
Las Vegas,1600000US3240000,36.1699,-115.1398,Nevada,30,1,74,75,1,2,3,5645957,63,55,0,55,66,20,86,2302,10,0,0,0,6,1,7,791744,0,0,0,0,0,0,0,0
North Las Vegas,1600000US3251800,36.1989,-115.1175,Nevada,8,0,4,4,0,0,0,220016,63,40,0,40,7,3,10,1718,10,0,0,0,0,0,0,590829,0,0,0,0,0,0,0,0
Reno,1600000US3260600,39.5296,-119.8138,Nevada,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester,1600000US3345140,42.9956,-71.4548,New Hampshire,5,0,0,0,0,0,0,213701,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elizabeth,1600000US3421000,40.664,-74.2107,New Jersey,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jersey City,1600000US3436000,40.7282,-74.0776,New Jersey,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Newark,1600000US3451000,40.7357,-74.1724,New Jersey,12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Paterson,1600000US3457000,40.9168,-74.1718,New Jersey,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albuquerque,1600000US3502000,35.0853,-106.6056,New Mexico,34,2,0,2,2,0,2,1832453,3,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,1600000US3611000,42.8864,-78.8784,New York,4,0,0,0,0,0,0,22396,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York,1600000US3651000,40.7128,-74.006,New York,71,0,0,0,0,0,0,30000,10,0,0,0,35,0,35,0,1,0,0,0,1,0,1,0,12,0,0,0,37,0,37,0
Rochester,1600000US3663000,43.161,-77.6109,New York,6,0,0,0,0,0,0,591473,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syracuse,1600000US3673000,43.0481,-76.1474,New York,3,0,0,0,0,0,0,875197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yonkers,1600000US3684000,40.9312,-73.8987,New York,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Charlotte,1600000US3712000,35.2271,-80.8431,North Carolina,39,0,0,0,0,0,0,2539329,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Durham,1600000US3719000,35.994,-78.8986,North Carolina,18,0,0,0,0,0,0,161477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayetteville,1600000US3722920,35.0527,-78.8784,North Carolina,9,0,0,0,2,2,4,18006731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greensboro,1600000US3728000,36.0726,-79.792,North Carolina,26,0,0,0,0,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Point,1600000US3731400,35.9557,-80.0053,North Carolina,5,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raleigh,1600000US3755000,35.7796,-78.6382,North Carolina,29,0,0,0,0,0,0,2520323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,1600000US3774440,34.2257,-77.9447,North Carolina,55,0,0,0,0,0,0,2664714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Winston-Salem,1600000US3775000,36.0999,-80.2442,North Carolina,10,0,0,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,1600000US3825700,46.8772,-96.7898,North Dakota,6,0,0,0,0,0,0,77539,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,1600000US3901000,41.0814,-81.519,Ohio,6,0,0,0,1,0,1,6343523,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,22269,0,0,0,0,0,0,0,0
Cincinnati,1600000US3915000,39.1031,-84.512,Ohio,29,0,0,0,0,0,0,2003472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,1600000US3916000,41.4993,-81.6944,Ohio,9,0,0,0,0,0,0,686431,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,34037,0,0,0,0,0,0,0,0
Columbus,1600000US3918000,39.9612,-82.9988,Ohio,25,0,0,0,0,0,0,164472,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dayton,1600000US3921000,39.7589,-84.1916,Ohio,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo,1600000US3977000,41.6639,-83.5552,Ohio,1,0,0,0,0,0,0,3268330,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norman,1600000US4052500,35.2226,-97.4395,Oklahoma,27,0,0,0,0,0,0,771415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma City,1600000US4055000,35.4676,-97.5164,Oklahoma,49,136,0,136,14,0,14,6522594,12,124,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulsa,1600000US4075000,36.154,-95.9928,Oklahoma,44,0,0,0,1,0,1,65000,31,357,0,357,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eugene,1600000US4123850,44.0521,-123.0868,Oregon,1,0,0,0,0,0,0,27366,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gresham,1600000US4131250,45.5001,-122.4302,Oregon,4,0,0,0,0,0,0,846456,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portland,1600000US4159000,45.5231,-112.6765,Oregon,11,0,0,0,0,0,0,3114368,7,8,0,8,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salem,1600000US4164900,44.9429,-123.0351,Oregon,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allentown,1600000US4202000,40.6084,-75.4902,Pennsylvania,8,0,0,0,0,0,0,100000,16,3,0,3,2,0,2,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia,1600000US4260000,39.9526,-75.1652,Pennsylvania,75,0,1,1,2,2,4,8902896,37,48,1,49,70,6,76,25000,11,0,0,0,4,0,4,250000,8,0,0,0,0,0,0,100000
Pittsburgh,1600000US4261000,40.4406,-79.9959,Pennsylvania,42,1,0,1,4,0,4,1416382,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayamón,1600000US7206593,18.3692,-66.166,PR,17,0,0,0,0,0,0,24999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Carolina,1600000US7214290,18.3803,-65.9626,PR,35,0,0,0,1,0,1,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ponce,1600000US7263820,18.0111,-66.6141,PR,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Juan,1600000US7276770,18.4655,-66.1057,PR,116,0,0,0,0,0,0,333000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Providence,1600000US4459000,41.824,-71.4128,Rhode Island,11,0,0,0,0,0,0,36389,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,1600000US4513330,32.7765,-79.9311,South Carolina,76,0,0,0,0,0,0,7647152,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0
Columbia,1600000US4516000,34.0007,-81.0348,South Carolina,100,21,0,21,1,0,1,12935716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sioux Falls,1600000US4659020,43.5446,-96.7311,South Dakota,43,0,0,0,0,0,0,288881,8,10,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattanooga,1600000US4714000,35.0456,-85.3097,Tennessee,15,0,0,0,0,0,0,91117,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Clarksville,1600000US4715160,36.5298,-87.3595,Tennessee,7,0,0,0,1,0,1,1291314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knoxville,1600000US4740000,35.9606,-83.9207,Tennessee,7,0,0,0,0,0,0,1998000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memphis,1600000US4748000,35.1495,-90.049,Tennessee,40,0,1,1,0,0,0,2003169754,29,0,0,0,19,1,20,0,3,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0
Murfreesboro,1600000US4751560,35.8456,-86.3903,Tennessee,4,0,0,0,0,0,0,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abilene,1600000US4801000,32.4487,-99.7331,Texas,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amarillo,1600000US4803000,35.222,-101.8313,Texas,60,0,0,0,0,0,0,453322,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,1600000US4804000,32.7357,-97.1081,Texas,8,0,0,0,0,0,0,87000,5,39,0,39,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austin,1600000US4805000,30.2672,-97.7431,Texas,80,0,0,0,10,0,10,111904886,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beaumont,1600000US4807000,30.0802,-94.1266,Texas,19,0,0,0,0,0,0,129599,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44879,4,0,0,0,0,0,0,0
Brownsville,1600000US4810768,25.9017,-97.4975,Texas,24,0,0,0,0,0,0,1851154,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,849901,0,0,0,0,0,0,0,0
Carrollton,1600000US4813024,32.9756,-96.89,Texas,7,0,0,0,0,0,0,721948,13,19,0,19,1,0,1,0,3,0,0,0,0,0,0,854,0,0,0,0,0,0,0,0
Corpus Christi,1600000US4817000,27.8006,-97.3964,Texas,49,0,0,0,1,0,1,4223367,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9346
Dallas,1600000US4819000,32.7767,-96.797,Texas,35,0,1,1,3,3,6,18671205,13,7,0,7,6,0,6,0,3,0,0,0,3,0,3,15290,0,0,0,0,0,0,0,0
Denton,1600000US4819972,33.2148,-97.1331,Texas,7,0,0,0,1,0,1,45956,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso,1600000US4824000,31.7619,-106.485,Texas,34,1,0,1,1,0,1,2345902,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1725816,0,0,0,0,0,0,0,0
Fort Worth,1600000US4827000,32.7555,-97.3308,Texas,38,0,5,5,1,2,3,3051563,7,79,0,79,2,1,3,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Frisco,1600000US4827684,33.1507,-96.8236,Texas,7,0,0,0,0,0,0,12673,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garland,1600000US4829000,32.9126,-96.6389,Texas,5,0,0,0,0,0,0,2272193,12,65,0,65,2,0,2,0,3,0,0,0,0,0,0,2513,0,0,0,0,0,0,0,0
Grand Prairie,1600000US4830464,32.746,-96.9978,Texas,16,0,0,0,0,0,0,146273,14,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2346,0,0,0,0,0,0,0,0
Houston,1600000US4835000,29.7604,-95.3698,Texas,44,0,0,0,10,1,11,4187688,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irving,1600000US4837000,32.814,-96.9489,Texas,14,0,0,0,0,0,0,6185647,12,66,0,66,2,0,2,0,3,0,0,0,0,0,0,2994,0,0,0,0,0,0,0,0
Killeen,1600000US4839148,31.1171,-97.7278,Texas,9,0,0,0,1,0,1,324659,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laredo,1600000US4841464,27.5306,-99.4803,Texas,25,0,0,0,0,0,0,2981875,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbock,1600000US4845000,33.5779,-101.8552,Texas,20,0,1,1,0,0,0,17140037,0,0,0,0,0,0,0,0,3,6,0,6,1,0,1,172836,0,0,0,0,0,0,0,0
McAllen,1600000US4845384,26.2034,-98.23,Texas,12,0,0,0,0,0,0,3957520,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,153600,0,0,0,0,0,0,0,0
McKinney,1600000US4845744,33.1972,-96.6398,Texas,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesquite,1600000US4847892,32.7668,-96.5992,Texas,3,0,0,0,1,0,1,39476,12,39,0,39,1,0,1,0,3,0,0,0,0,0,0,1929,0,0,0,0,0,0,0,0
Midland,1600000US4848072,31.9973,-102.0779,Texas,47,1,0,1,1,0,1,1565338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasadena,1600000US4856000,29.6911,-95.2091,Texas,10,0,0,0,0,0,0,3303975,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plano,1600000US4858016,33.0198,-96.6989,Texas,9,0,0,0,0,0,0,8414,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Antonio,1600000US4865000,29.4241,-98.4936,Texas,119,0,0,0,5,0,5,92279,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waco,1600000US4876000,31.5493,-97.1467,Texas,20,0,5,5,3,0,3,200333,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wichita Falls,1600000US4879000,33.9137,-98.4934,Texas,5,0,0,0,0,0,0,42353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provo,1600000US4962470,40.2338,-111.6585,Utah,1,0,0,0,0,0,0,8507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salt Lake City,1600000US4967000,40.7608,-111.891,Utah,3,0,0,0,0,0,0,199670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Jordan,1600000US4982950,40.6097,-111.9391,Utah,1,0,0,0,0,0,0,24418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Valley City,1600000US4983470,40.6916,-112.0011,Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burlington,1600000US5010675,44.4759,-73.2121,Vermont,7,0,0,0,0,0,0,383732,2,0,0,0,0,0,0,9346,4,0,0,0,0,0,0,10281,3,0,0,0,0,0,0,186919
Alexandria,1600000US5101000,38.8048,-77.0469,Virginia,5,0,0,0,0,0,0,50000,20,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Chesapeake,1600000US5116000,36.7682,-76.2875,Virginia,27,0,0,0,0,0,0,21525000,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,285000
Hampton,1600000US5135000,37.0299,-76.3452,Virginia,28,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1795
Newport News,1600000US5156000,37.0871,-76.473,Virginia,31,0,0,0,0,0,0,2783061,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,206601
Norfolk,1600000US5157000,36.8508,-76.2859,Virginia,38,0,0,0,0,0,0,18947627,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1510000
Richmond,1600000US5167000,37.5407,-77.436,Virginia,8,0,0,0,0,0,0,1060,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Beach,1600000US5182000,36.8529,-75.978,Virginia,32,0,0,0,0,0,0,3021699,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,574000
Bellevue,1600000US5305210,47.6101,-122.2015,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everett,1600000US5322640,47.979,-122.2021,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18274
Kent,1600000US5335415,47.3809,-122.2348,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24280
Seattle,1600000US5363000,47.6062,-122.3321,Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,89067
Spokane,1600000US5367000,47.6588,-117.426,Washington,6,0,0,0,0,0,0,169218,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tacoma,1600000US5370000,47.2529,-122.4443,Washington,2,0,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7408
Vancouver,1600000US5374060,45.6318,-122.6716,Washington,3,0,0,0,0,0,0,2235616,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charleston,1600000US5414600,38.3498,-81.6326,West Virginia,10,0,0,0,0,0,0,7792943,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,310753,0,0,0,0,0,0,0,0
Green Bay,1600000US5531000,44.5192,-88.0198,Wisconsin,5,0,0,0,0,0,0,158000,2,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Madison,1600000US5548000,43.0731,-89.4012,Wisconsin,8,0,0,0,0,0,0,76945,13,0,25,25,1,0,1,0,9,0,0,0,0,0,0,18983,0,0,0,0,0,0,0,0
Milwaukee,1600000US5553000,43.0389,-87.9065,Wisconsin,5,0,0,0,1,0,1,6286665,12,18,60,78,2,1,3,0,17,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0
Cheyenne,1600000US5613900,41.14,-104.8202,Wyoming,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
