X,Geo_ID,Cold.Instances,Cold.Damage,Heat.Instances,Heat.Damage,Flood.Instances,Flood.Damage,Drought.Instances,Drought.Damage,Name,SQMI,State,County,Percent_of_GDP_based_on_water_intensive_industries,Percentage_of_workforce_in_Farming__Fishing_and_Forestry_2015,Existence_of_drought_management_plans_2015,Existence_of_water_management_plan_2015,water_stress,bond_worth,incentives_energy,corruption,civ_engage,patents,global_warming,edu_12,city_pop,water_quality,debt,floodzone_pop,floodzone_build,floodzone_cars,imp_surface,hosp_beds,alone_65,edu_12.1,young_5,health_ins,build_1999,mobile_home,rent_50,tree_canopy,no_heat,disability,poverty,build_1979,out_work,no_car,total.heat.death,total.cold.death
15,1600000US1212875,2,0,4,0,27,6848751,0,0,Clearwater,26.31,FL,Pinellas,8.780764806,0.343892867,No,No,3.165851539,0,0,27,0.978696573,0.000274832,45,8.6423289,110381,4,2213.17,20.95,24.35,3772969,41.43985737,4.747193811,16.4316304,8.6423289,6,81.5,92.25,0.2,28,21.15384006,1.3,14.3,14.7921443,62.8,10.35,11.8,0,0
16,1600000US0937000,0,0,4,0,4,281,14,99091.96071,Hartford,18.06,CT,Hartford,11.23175363,0.264089913,No,No,1.58334778,7,1,6,0.675717038,0.000634377,43,26.9287269,124795,13,1584.66,9.72,9.69,1140450,48.44708735,13.87074803,10.2632684,26.9287269,7,85.5,95.98,1.4,33,20.59677078,1.5,15.4,42.9076682,84.7,16.26,33.8,3,0
17,1600000US0653896,0,0,4,0,1,0,0,0,Ontario,50.01,CA,San Bernardino,12.2778812,0.408976042,No,No,3.032913698,0,0,53,0.498348465,0.000103591,47,25.044572,168218,0,1321.73,4.73,4.62,1920801,38.57876194,1.587226099,5.8258575,25.044572,7,79.6,92.32,2.1,30,2.745957402,1.4,8.9,14.3261214,58.1,18.95,4.8,0,0
18,1600000US3755000,72,0,30,0,15,10435130,78,26688.83346,Raleigh,144,NC,Wake,17.97263681,0.404838903,No,Yes,5,21,0,4,0.867432955,0.001533782,42,8.5944779,432520,11,1489.75,4.76,4.34,648358,21.31045932,3.770923888,6.9820269,8.5944779,6.6,86.2,68.98,0.1,24,47.52132573,0.2,8.2,10.1381731,29.9,8.89,6.1,11,0
19,1600000US4817000,0,0,0,0,2,45000,223,799099.0461,Corpus Christi,157.14,TX,Nueces,18.14292574,0.114272577,Yes,Yes,5,19,0,11,0.450984125,7.39E-05,43,16.7895353,316513,8,2026.62,86.46,88.13,167595,27.82605033,6.104014685,8.3071322,16.7895353,6.7,80.9,85.5,1,21,8.555392651,0.4,13.9,17.5801493,56.5,14.81,8.6,0,0
20,1600000US0684200,0,0,0,0,0,0,2,17865.5,West Covina,16.09,CA,Los Angeles,10.83474095,0.811062898,No,No,5,0,0,53,0.581008515,0.000361114,48,13.2071807,107837,0,1124.68,10.92,12.12,588666,46.36346162,4.145144987,7.6583593,13.2071807,5.7,85.5,96.47,0.1,27,6.172911223,1.8,10.9,6.6458982,79.1,10.57,4.6,0,0
21,1600000US0658072,0,0,0,0,0,0,2,17865.5,Pomona,22.96,CA,Los Angeles,22.23597535,0.065848589,No,No,2.765091863,15,0,53,0.476567142,0.000361114,48,28.5844313,151753,0,2140.53,28.61,31.92,1561049,40.98288231,9.858124716,6.033826,28.5844313,7.4,78.5,92.59,1.7,34,4.691449927,11.3,8.6,15.9276754,69.4,19.3,7.6,0,0
22,1600000US1703012,0,0,0,0,0,0,0,0,Aurora,45.8,IL,DuPage,13.92166333,0.168880416,No,Yes,3.97435573,0,0,16,0.601364357,0.000342932,41,20.8910035,200614,0,557.98,3.24,3.18,10112818,39.20365,2.507302581,5.4484206,20.8910035,8,84.7,81.02,0.2,25,9.094849365,0.2,6.8,15.5820274,49.9,15.45,4.9,0,0
23,1600000US2270000,0,0,0,0,0,0,34,91302.11765,Shreveport,120.83,LA,Caddo Parish,14.97286819,0.173063299,No,No,2.719952662,16,1,6,0.642261372,6.28E-05,44,12.371324,200015,10,2948.23,11.55,11.1,1341906,27.04257503,13.38899583,11.1406452,12.371324,7.5,83.4,89.3,0.3,26,37.15402516,0.3,14.1,18.9664516,70.6,12.91,11.8,0,0
24,1600000US1871000,1,0,0,0,1,6834,44,65536.89091,South Bend,41.88,IN,St. Joseph,NA,0.150414192,No,No,3.032913698,0,0,7,0.763020798,0.000370445,40,14.2285167,100590,0,1654.67,3.8,3.87,1327646,37.54131614,4.423898996,11.5772663,14.2285167,8,83.6,94.41,6.6,26,14.12404368,0.2,15.1,21.9301359,82.2,11.82,13.4,0,0
25,1600000US5363000,0,0,6,13223,0,0,0,0,Seattle,99.6,WA,King,12.33724905,0.122119023,Yes,No,4.60448598,21,4,5,0.669829245,0.002031034,49,5.4128702,653017,13,5029.53,27,27.43,3785984,44.61820853,5.692041708,9.2848739,5.4128702,5.2,91.2,82.3,0.8,20,16.09859066,1.1,9.4,10.8898875,66.5,5.72,16.4,1,0
26,1600000US2079000,0,0,0,0,0,0,370,96667.70314,Wichita,163.59,KS,Sedgwick,29.41568964,0.128858853,No,No,3.287541214,20,2,2,0.584124534,0.000167809,38,10.5948912,387147,1,1984.73,9.01,8.54,2374212,32.73508046,3.592950481,9.814644,10.5948912,7.9,85.1,87.81,3.6,21,12.39536351,0.2,12.4,14.4342759,63.1,12.64,7.1,0,0
27,1600000US2511000,0,0,2,0,0,0,7,8377.104286,Cambridge,7.11,MA,Middlesex,0.099105029,0.03174704,No,Yes,3.352415395,21,13,16,0.752106084,0.002221557,46,4.4768515,107916,0,2500.79,7.4,6.03,1858795,59.15223662,4.003113533,10.7120842,4.4768515,4.3,97.3,90.27,0.1,22,17.52340197,2.5,6.9,8.5568823,78.8,2.58,30.6,0,0
28,1600000US0862000,0,0,3,0,0,0,23,53709.92087,Pueblo,54.43,CO,Pueblo,12.39920815,0.166888623,No,No,5,0,0,0,0.633865847,0.000111442,44,13.0354515,108073,0,736.68,8.82,8.46,5636334,28.7354718,7.198837823,14.0858748,13.0354515,6.6,87.6,89.32,0.1,28,4.101377073,0.6,20.1,24.398252,76,13.01,12.1,0,0
29,1600000US3918000,0,0,0,0,0,0,25,67261.472,Columbus,223.11,OH,Franklin,13.07207031,0.102080151,Yes,No,2.714624541,21,1,12,0.771918186,0.000199052,43,9.9147937,824663,4,1815.37,24.7,23.72,2908772,38.50746938,6.312881747,7.7460833,9.9147937,7.6,86.6,85.55,4.6,23,15.6624509,0.2,11.8,18.2565337,57.3,10.06,9.7,0,0
30,1600000US4516000,0,0,0,0,3,0,21,28278.10286,Columbia,134.93,SC,Richland,13.12483711,0.347154572,Yes,Yes,2.616555943,20,0,3,0.802772539,0.000110581,47,11.0702395,131958,2,167.5,10.67,10.7,1896847,13.32829767,13.51945316,9.8278884,11.0702395,5.4,87.4,81.76,0.2,28,48.31612305,0.3,10.9,17.2763223,60.8,9.83,11.6,0,0
31,1600000US4845744,0,0,0,0,1,497898,55,69793.98382,McKinney,62.88,TX,Collin,12.2786493,0.496920493,No,Yes,2.744568605,21,0,3,0.750381121,0.001540219,42,6.4484564,150064,4,246.5,10.97,10.92,10365171,26.15084157,2.15241497,5.8725597,6.4484564,7.9,86.6,39.13,0.1,18,18.00707362,0.3,6.4,3.7320385,10.3,6.94,3.7,0,0
32,1600000US1723074,1,0,2,9346,4,50065,38,400970.8716,Elgin,37.71,IL,Cook/Kane,13.92166333,0.192971388,No,Yes,3.97435573,20,0,16,0.743572289,0.000342932,41,19.3591417,112105,0,1073.43,8.73,8.66,256429,32.77225177,3.915971634,8.0256593,19.3591417,9.1,84.1,82.65,1,24,11.8977899,0.4,8.6,15.2216679,56.3,14.87,5.5,0,0
33,1600000US0669000,0,0,1,0,0,0,0,0,Santa Ana,27.52,CA,Orange,NA,0.19489986,No,No,5,0,0,53,0.35164403,0.000914935,45,40.8358983,333268,8,1070.72,9.24,9.1,3681505,64.427433,1.542302291,5.2770978,40.8358983,8.1,72.5,96.57,0,31,3.480645406,16.3,8.9,18.6283559,80.7,25.46,6.9,0,0
34,1600000US0804000,69,7264301,0,0,17,41738,124,53606.3979,Aurora,155.43,CO,Arapahoe/Adams/Douglas,14.15060154,0.168726911,No,No,5,0,4,0,0.677642775,0.000414262,44,11.7022626,345867,2,989.5,6.21,6.54,435712,18.75725193,4.241514802,7.5489192,11.7022626,7.8,81.8,80.36,0.6,27,2.91577587,0.4,10.2,12.5476695,44,14.94,6.9,0,0
35,1600000US0653980,0,0,1,0,0,0,0,0,Orange,25.24,CA,Orange,11.49768553,0.753894904,Yes,No,5,0,0,53,0.63409369,0.000914935,45,13.2011717,139761,0,819.36,19.41,18.93,2323029,50.0283519,9.215732572,7.0759138,13.2011717,6.2,85.3,91.44,2.5,30,4.51360282,5.1,7.5,6.3753515,68.7,11.61,3.8,0,0
36,1600000US2622000,0,0,0,0,1,0,20,33066.65,Detroit,138.96,MI,Wayne,19.53549482,0.448052586,No,No,0,19,3,4,0.555887705,0.000509846,42,18.8734495,690074,0,13700.82,1.33,1.31,4201500,59.42641767,5.113944302,11.7107218,18.8734495,7.1,83.3,96.71,0.2,37,10.69385117,0.8,19.8,43.446078,92.2,14.89,25,0,0
37,1600000US0616000,0,0,13,0,0,57,0,0,Concord,30.55,CA,Contra Costa,10.49677557,0.268954707,Yes,No,0,0,0,12,0.566943191,0.000947022,50,10.6357493,126268,0,982.79,9.33,8.56,2283800,33.92279161,1.94031742,8.8286463,10.6357493,6.9,87,95.07,0.6,29,6.884182269,0.9,12,9.2800987,77.2,14.41,6.3,1,0
38,1600000US3728000,0,0,2,0,2,0,115,41459.46435,Greensboro,131.8,NC,Guilford,27.79784312,0.134891405,No,No,1.846318202,21,2,0,0.846373854,0.00029205,45,9.6959487,279427,6,1447.82,9.35,8.97,5548963,27.43743459,4.419759007,10.0911641,9.6959487,6.4,84.7,83.26,3.5,22,41.22485348,0.2,9.9,15.7328191,47.5,11.13,8.1,0,0
39,1600000US4845000,0,0,1,0,1,236011,228,487467.0898,Lubbock,123.55,TX,Lubbock,0.099105029,0.304568528,No,No,2.380891814,19,0,48,0.535719927,8.60E-05,42,13.1990678,240719,0,636.11,7.19,7.28,712187,22.61101908,6.061008894,9.1028717,13.1990678,7,82.6,80.42,0.2,29,7.108285988,0.2,14,13.6222397,54.6,12.33,6,0,0
40,1600000US4837000,0,0,12,0,0,0,37,37430.05946,Irving,68.02,TX,Dallas,10.83474095,0.063977889,Yes,Yes,4.66866597,21,0,48,0.394555304,0.000292555,48,18.8196797,228776,3,1428.69,35.19,35.5,15769148,41.58717743,1.818372557,4.5726787,18.8196797,9,75,83.84,2,17,15.65335254,0.3,6.8,12.1854415,42,15.7,5.2,0,0
41,1600000US2684000,0,0,10,0,0,0,24,13904.00417,Warren,34.46,MI,Macomb,19.53549482,0.129471068,No,No,0,0,0,4,0.73494508,0.000415356,36,13.2410746,134857,0,1139.05,1.07,1.03,2634004,58.61703394,2.72881645,12.1305591,13.2410746,6,87.9,96.78,1.1,32,6.209043878,0.5,16.5,20.0287888,85.9,10.73,8.8,0,0
42,1600000US2676460,0,0,2,0,1,0,24,13904.00417,Sterling Heights,36.8,MI,Macomb,10.01022461,0.236837847,No,Yes,4.094523588,0,1,4,0.703528523,0.000415356,36,11.0272232,131139,0,457.97,10.67,11.62,3375208,45.44144561,7.26709827,11.2430224,11.0272232,5.1,89.7,89.57,0.4,26,11.05966175,0.3,13,14.2585551,62.3,8.37,5.2,0,0
43,1600000US0653000,0,0,3,0,1,2068550,0,0,Oakland,56.08,CA,Alameda,10.83474095,0.405127326,Yes,Yes,5,19,2,12,0.559077541,0.001952702,55,16.7442216,408073,0,6065.91,10.26,11.44,3413655,48.4774892,3.109737718,9.6721456,16.7442216,6.4,86,92.55,1.4,28,18.50337721,3.7,12.1,13.295334,81.9,12.41,17.3,0,0
44,1600000US0636770,0,0,0,0,2,0,0,0,Irvine,66.45,CA,Orange,10.83474095,0.532000645,No,Yes,5,0,0,53,0.612922732,0.000914935,45,2.8086808,238474,0,3686.27,11.29,10.91,5753790,34.03219279,1.375411995,5.9632028,2.8086808,5.6,92.3,63.4,1.9,24,4.402474158,1,5.8,3.101966,28,2.11,4.1,0,0
45,1600000US0629000,0,0,2,0,0,0,0,0,Garden Grove,17.96,CA,Orange,10.83474095,0.265574584,Yes,No,5,0,0,53,0.516933137,0.000914935,45,21.7077027,174721,0,719.2,11.33,10.31,9104459,61.10850298,0.955809548,7.1024299,21.7077027,5.8,83,94.94,2.4,32,3.398502061,5,8.9,13.172901,80.2,13.88,5.4,0,0
46,1600000US0628000,1,0,0,0,3,54446,0,0,Fullerton,22.36,CA,Orange,10.83474095,0.324038154,Yes,Yes,5,0,0,53,0.687307883,0.000914935,45,11.4487853,138976,0,422.71,1.74,1.56,116740,50.34097301,2.525615934,7.501499,11.4487853,6.3,83.7,90.45,3.7,30,5.934176586,2.5,8.7,7.5126024,74.9,9.45,5.8,0,0
47,1600000US0952000,1,0,15,184829,1,0,5,49748.28,New Haven,19.26,CT,New Haven,13.92166333,0.105553195,No,No,3.97435573,16,0,6,0.732519825,0.000530025,44,15.5981852,130612,13,4358.05,35.6,34.07,12793545,43.99060059,15.71065446,11.1088787,15.5981852,6.1,87.3,93.83,0.2,34,26.86253204,0.6,11.1,27.8816982,83.2,11.2,29.2,30,0
48,1600000US4829000,0,0,3,0,0,0,37,37430.05946,Garland,57.22,TX,Dallas,22.23597535,0.294696364,No,Yes,2.765091863,0,0,48,0.703028825,0.000292555,48,21.0858953,234213,3,1966.12,9.44,9.5,3727820,39.87541828,0.653251527,6.7599317,21.0858953,7.4,73.9,89.2,4.6,25,15.57612314,0.2,10.9,15.2498932,54.9,17.49,4.7,0,0
49,1600000US0616532,0,0,2,0,4,1000,0,0,Costa Mesa,15.7,CA,Orange,10.83474095,0.404635504,No,Yes,4.66866597,0,0,53,0.47675323,0.000914935,45,13.1127068,112377,0,277.95,1.9,1.89,1085230,58.9146525,11.92414818,6.6172876,13.1127068,6.7,81.3,93.61,0.2,27,3.946736004,7.7,7.5,6.1528307,76,11.58,4.8,0,0
50,1600000US4813024,0,0,1,0,3,0,103,20399.45204,Carrollton,37.11,TX,Denton/Dallas/Collin,22.23597535,0.076357466,No,No,2.765091863,20,0,18,0.800814617,0.000471407,43,13.0848048,127279,2,1095.18,12.52,12.67,6282879,46.82551435,2.710580693,5.2338555,13.0848048,6.5,77.8,84.62,3.4,17,13.00360443,0.2,6.9,6.2633939,31.2,10.66,2.3,0,0
51,1600000US0602000,1,0,0,0,5,60000,0,0,Anaheim,50.81,CA,Orange,10.83474095,0.342928401,Yes,Yes,5,0,0,53,0.391711678,0.000914935,45,20.7062251,345578,0,4029.31,2.7,2.87,2230074,52.14426983,2.584076533,6.9970904,20.7062251,7.2,80.7,91.88,5.3,32,5.127450176,7,8.2,12.1310324,70,15.98,6.9,0,0
52,1600000US4858016,0,0,0,0,1,0,55,69793.98382,Plano,71.94,TX,Collin,23.48404657,0.04638406,No,No,0,21,2,3,0.662946607,0.001540219,42,5.6500383,275645,6,1001.55,15.33,17.34,10538892,46.98436805,4.959277331,6.1450686,5.6500383,5.8,87.1,81.67,0.5,18,11.24393791,0.2,6.7,4.33147,21.3,5.79,3.3,0,0
53,1600000US0616350,0,0,0,0,0,0,27,164671.9259,Corona,38.93,CA,Riverside,11.49768553,0.293099939,No,No,5,0,0,53,0.528115276,0.000116186,48,12.1633846,159595,11,2574.46,8.58,7.57,24710,36.44647464,1.491274789,5.311903,12.1633846,7,85.1,81.11,2.1,30,4.700307066,1.1,7.6,8.9791511,26.5,12.05,3.6,0,0
54,1600000US4848072,0,0,27,0,4,0,67,138529.8873,Midland,72.24,TX,Midland,6.372626298,0.28741221,No,No,3.813670521,19,0,29,0.552514992,0.000218124,39,15.1553426,123820,13,779.35,3.01,3.36,2125115,18.44794443,4.013891132,8.0182348,15.1553426,8.2,79.8,86.17,2.1,19,9.726042619,0.2,10.7,8.1871616,54,17.04,4.5,0,0
55,1600000US4827684,0,0,0,0,0,3303975,55,69793.98382,Frisco,62.38,TX,Collin/Denton,22.23597535,0.093305007,Yes,Yes,2.765091863,20,1,3,0.853491371,0.001540219,41,3.4684062,137797,0,NULL,7.24,7.11,1236184,29.22234049,1.74169249,3.4893954,3.4684062,7.6,91.4,31.59,0.8,16,11.03944173,0.1,5.5,2.9129631,4,4.24,1.2,0,0
56,1600000US1263000,0,0,5,0,1,20531,0,0,St. Petersburg,63.92,FL,Pinellas,15.70630962,0.246806138,No,Yes,0.68334697,0,0,27,0.736140581,0.000274832,45,8.1921307,250713,0,1370.69,18.67,17.06,977269,36.76594704,5.384642998,12.6001726,8.1921307,5,83.8,93.2,1.6,25,24.79299682,1.1,13.2,15.3495253,78.4,9.14,10.3,2,0
57,1600000US5305210,1,0,2,0,0,0,0,0,Bellevue,36.47,WA,King,14.97286819,0.139795639,No,No,2.719952662,21,0,5,0.687372829,0.002031034,49,3.585739,134630,0,1265.53,12.01,10.27,356150,33.06604043,2.5031568,8.713295,3.585739,5.9,91.3,84.32,0.9,16,28.70098506,0.3,8.3,6.5275933,54.1,4.87,6.2,0,0
58,1600000US0137000,0,0,0,0,1,1060,38,132500.2568,Huntsville,210.39,AL,Madison,10.83474095,0.217965914,No,Yes,4.861585331,21,0,13,0.939068518,0.000432978,38,8.4435767,185594,0,2654.12,5.99,6.09,2560040,13.7309784,5.65751048,10.549431,8.4435767,6.3,85.7,80.91,2.6,24,34.65380499,0.3,13.4,14.4868498,54.9,9.49,6.5,0,0
59,1600000US0664224,1,0,1,0,6,530000,15,15265.06667,Salinas,23.22,CA,Monterey,10.36320989,3.682620309,No,Yes,1.27728685,0,1,12,0.365837853,0.000172719,49,37.8788216,155366,9,387.22,2.2,1.96,400868,43.25329302,2.838458865,6.096547,37.8788216,9.2,78.7,90.32,0.5,26,2.658682993,2,7.6,11.2638169,58.8,33.66,5.6,0,0
60,1600000US0650076,0,0,0,0,3,0,27,164671.9259,Murrieta,33.61,CA,Riverside,12.38300493,0.215089621,No,No,0.69764122,0,0,53,0.688867557,0.000116186,48,6.3057704,107507,0,1664.01,6.16,5.95,127361,26.65900609,2.102188695,8.1780633,6.3057704,6.9,88.5,48.81,3.4,27,3.228175916,0.2,9,6.9389628,5.8,8.58,2.8,0,0
61,1600000US5322640,0,0,2,0,7,1000,0,0,Everett,35.02,WA,Snohomish,14.97286819,0.58429894,Yes,No,0,0,0,5,0.608486016,0.000583939,45,9.3844161,105685,0,1293.36,8.45,8.56,2478695,36.36774539,8.042768605,10.8129946,9.3844161,6.8,85.6,85.8,2.3,24,27.22980535,0.8,15.8,23.0376197,52.2,13.91,11.9,2,0
62,1600000US0151000,0,0,1,0,0,0,18,7200.672778,Montgomery,161.92,AL,Montgomery,26.36316065,2.219341708,No,Yes,4.478620174,17,0,6,0.617288873,4.82E-05,43,12.4941146,202967,0,679.24,4.06,3.95,100318,19.16499458,5.168327856,10.3435755,12.4941146,7,86.5,87.23,1.9,29,37.86742184,0.2,16.3,21.5911652,56.7,11.16,8.5,0,0
63,1600000US3719000,1,0,13,0,11,25784,20,14665.60249,Durham,108.28,NC,Durham,31.72136126,0.339278016,Yes,Yes,1.846318202,21,0,0,0.830082217,0.001028333,50,11.6434042,246084,2,1220.68,10.05,10.34,7335823,18.37012806,6.640009103,7.7920269,11.6434042,7.4,84.3,75.06,1.1,24,56.61324869,0.4,9.7,13.7235979,39.9,11.7,10,6,0
64,1600000US1271000,0,0,0,0,0,0,0,0,Tampa,118.1,FL,Hillsborough,4.814538551,0.122891177,No,No,0.981590137,0,0,27,0.741230456,0.000229491,44,11.2787088,355603,0,2506.82,4.12,4.2,835785,33.1917009,10.15177037,9.464818,11.2787088,6.1,84.4,78.03,1.5,28,29.44598491,1,12.5,20.4447663,54,10.3,11.4,0,0
65,1600000US1825000,0,0,2,0,29,3162814,81,83615.88519,Fort Wayne,110.83,IN,Allen,23.52443609,0.12495251,No,No,3.368071252,20,0,7,0.628386251,0.000313658,38,10.0177798,257059,0,494.28,8.35,8.87,1051014,29.71732424,4.014642553,10.9540152,10.0177798,7.5,84.7,93.11,2.6,22,14.10274675,0.2,12.6,16.0462683,66.6,10.71,8.6,0,0
66,1600000US5553000,0,0,2,0,20,14872,6,3282.483333,Milwaukee,96.77,WI,Milwaukee,118.0653875,0.205159197,Yes,Yes,5,18,7,5,0.797995889,0.000243739,48,15.5248272,599498,13,1321.82,4.26,4.02,465642,49.15372131,5.082585763,8.8220895,15.5248272,7.8,86.7,95.75,1.2,31,11.96775109,0.6,14,31.1632663,89.1,11.62,18.5,0,0
67,1600000US1077580,0,0,2,0,23,25500,34,15995.04644,Wilmington,11.86,DE,New Castle,0.217676287,0.415415096,No,No,3.041149697,19,0,1,0.806140093,0.000625861,47,15.0475719,71549,2,2477.49,23.94,22.31,717538,46.1516714,6.988217865,13.0362522,15.0475719,7.5,90.2,92.06,4,27,11.29818139,0.4,13.3,27.4886604,80.8,11.27,23.8,1,0
68,1600000US5335415,0,0,1,0,3,100000,0,0,Kent,29.18,WA,King,11.94892452,0.126129006,No,No,2.643081608,17,0,5,0.7286975,0.002031034,49,12.400916,124292,13,811.68,13.37,13.27,3725800,43.66119659,2.437807743,7.7640708,12.400916,7.3,84.9,85.1,0.3,26,21.11045757,0.2,10.3,20.661568,38.2,14.23,7.6,0,0
69,1600000US1921000,0,0,3,18868,4,0,81,170868.8822,Des Moines,82.6,IA,Polk,6.044203879,0.222449058,Yes,No,2.63677603,19,0,2,0.496432172,0.000245375,41,10.9569917,208020,4,2263.79,33.78,35.87,1420702,25.73525872,7.504086146,9.8339391,10.9569917,7.8,90.2,91.41,2.3,26,13.80881895,0.5,13,23.8701861,77.9,13.1,8.8,1,0
