"city","state","geo.id","region"
"Inglewood","CA","1600000US0636546","West"
"Irvine","CA","1600000US0636770","West"
"Irving","TX","1600000US4837000","South"
"Jackson","MS","1600000US2836000","South"
"Jacksonville","FL","1600000US1235000","Southeast"
"Jersey City","NJ","1600000US3436000","Northeast"
"Joliet","IL","1600000US1738570","Ohio Valley "
"Kansas City (KS)","KS","1600000US2036000","Ohio Valley "
"Kansas City (MO)","MO","1600000US2938000","South"
"Kent","WA","1600000US5335415","Northwest"
"Killeen","TX","1600000US4839148","South"
"Knoxville","TN","1600000US4740000","Ohio Valley "
"Lafayette","LA","1600000US2240735","South"
"Lakewood","CO","1600000US0843000","Southwest"
"Lancaster","CA","1600000US0640130","West"
"Lansing","MI","1600000US2646000","Upper Midwest"
"Laredo","TX","1600000US4841464","South"
"Las Vegas","NV","1600000US3240000","West"
"Lexington-Fayette","KY","1600000US2146027","Ohio Valley "
"Lincoln","NE","1600000US3128000","Northern Rockies & Plains"
"Little Rock","AR","1600000US0541000","South"
"Long Beach","CA","1600000US0643000","West"
"Los Angeles","CA","1600000US0644000","West"
"Lowell","MA","1600000US2537000","Northeast"
"Lubbock","TX","1600000US4845000","South"
"Madison","WI","1600000US5548000","Upper Midwest"
"Manchester","NH","1600000US3345140","Northeast"
"McAllen","TX","1600000US4845384","South"
"McKinney","TX","1600000US4845744","South"
"Memphis","TN","1600000US4748000","Ohio Valley "
"Mesa","AZ","1600000US0446000","Southwest"
"Mesquite","TX","1600000US4847892","South"
"Miami","FL","1600000US1245000","Southeast"
"Miami Gardens","FL","1600000US1245060","Southeast"
"Midland","TX","1600000US4848072","South"
"Milwaukee","WI","1600000US5553000","Upper Midwest"
"Minneapolis","MN","1600000US2743000","Upper Midwest"
"Miramar","FL","1600000US1245975","Southeast"
"Mobile","AL","1600000US0150000","Southeast"
"Modesto","CA","1600000US0648354","West"
"Montgomery","AL","1600000US0151000","Southeast"
"Moreno Valley","CA","1600000US0649270","West"
"Murfreesboro","TN","1600000US4751560","Ohio Valley "
"Murrieta","CA","1600000US0650076","West"
"Naperville","IL","1600000US1751622","Ohio Valley "
"New Haven","CT","1600000US0952000","Northeast"
"New Orleans","LA","1600000US2255000","South"
"New York","NY","1600000US3651000","Northeast"
"Newark","NJ","1600000US3451000","Northeast"
"Newport News","VA","1600000US5156000","Southeast"
"Norfolk","VA","1600000US5157000","Southeast"
"Norman","OK","1600000US4052500","South"
"North Las Vegas","NV","1600000US3251800","West"
"Norwalk","CA","1600000US0652526","West"
"Oakland","CA","1600000US0653000","West"
"Oceanside","CA","1600000US0653322","West"
"Oklahoma City","OK","1600000US4055000","South"
"Olathe","KS","1600000US2052575","South"
"Omaha","NE","1600000US3137000","Northern Rockies & Plains"
"Ontario","CA","1600000US0653896","West"
"Orange","CA","1600000US0653980","West"
"Orlando","FL","1600000US1253000","Southeast"
"Overland Park","KS","1600000US2053775","South"
"Oxnard","CA","1600000US0654652","West"
"Palm Bay","FL","1600000US1254000","Southeast"
"Palmdale","CA","1600000US0655156","West"
"Pasadena (CA)","CA","1600000US0656000","South"
"Pasadena (TX)","TX","1600000US4856000","West"
"Paterson","NJ","1600000US3457000","Northeast"
"Pembroke Pines","FL","1600000US1255775","Southeast"
"Peoria (AZ)","AZ","1600000US0454050","Ohio Valley "
"Peoria (IL)","IL","1600000US1759000","Southwest"
"Philadelphia","PA","1600000US4260000","Northeast"
"Phoenix","AZ","1600000US0455000","Southwest"
"Pittsburgh","PA","1600000US4261000","Northeast"
"Plano","TX","1600000US4858016","South"
"Pomona","CA","1600000US0658072","West"
"Ponce","PR","1600000US7263820","Southeast"
"Port St. Lucie","FL","1600000US1258715","Southeast"
"Portland (ME)","ME","1600000US2360545","Northeast"
"Portland (OR)","OR","1600000US4159000","Northwest"
"Providence","RI","1600000US4459000","Northeast"
"Provo","UT","1600000US4962470","Southwest"
"Pueblo","CO","1600000US0862000","Southwest"
"Raleigh","NC","1600000US3755000","Southeast"
"Rancho Cucamonga","CA","1600000US0659451","West"
"Reno","NV","1600000US3260600","West"
"Richmond (CA)","CA","1600000US0660620","Southeast"
"Richmond (VA)","VA","1600000US5167000","West"
"Riverside","CA","1600000US0662000","West"
"Rochester (MN)","MN","1600000US2754880","Northeast"
"Rochester (NY)","NY","1600000US3663000","Upper Midwest"
"Rockford","IL","1600000US1765000","Ohio Valley "
"Roseville","CA","1600000US0662938","West"
"Sacramento","CA","1600000US0664000","West"
"Salem","OR","1600000US4164900","Northwest"
"Salinas","CA","1600000US0664224","West"
"Salt Lake City","UT","1600000US4967000","Southwest"
"San Antonio","TX","1600000US4865000","South"
"San Bernardino","CA","1600000US0665000","West"
"San Buenaventura","CA","1600000US0665042","West"
