"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Fort Wayne","IN","1600000US1825000","Green Bay, WI","High Point, NC","Independence, MO","Columbia (SC), SC","Topeka, KS","Wilmington (NC), NC","Tulsa, OK","Cambridge, MA","Wichita Falls, TX","Orlando, FL","Tampa, FL","Palm Bay, FL","Lubbock, TX","McAllen, TX","Fontana, CA"
"Fort Worth","TX","1600000US4827000","Irving, TX","Columbia (MO), MO","Centennial, CO","Des Moines, IA","Arvada, CO","Chattanooga, TN","Sioux Falls, SD","Aurora (IL), IL","Madison, WI","North Las Vegas, NV","Raleigh, NC","Ontario, CA","Costa Mesa, CA","Palmdale, CA","Manchester, NH"
"Fremont","CA","1600000US0626000","Sunnyvale, CA","Santa Clara, CA","San Jose, CA","Berkeley, CA","Thousand Oaks, CA","Simi Valley, CA","Santa Clarita, CA","Huntington Beach, CA","Irvine, CA","Chandler, AZ","Frisco, TX","Plano, TX","Naperville, IL","Allentown, PA","Carolina, PR"
"Fresno","CA","1600000US0627000","Stockton, CA","Provo, UT","Spokane, WA","Laredo, TX","Elgin, IL","Evansville, IN","Grand Rapids, MI","Warren, MI","Cleveland, OH","Pittsburgh, PA","Richmond (VA), VA","Norfolk, VA","Wilmington (DE), DE","Waterbury, CT","Bayam<U+0086>n, PR"
"Frisco","TX","1600000US4827684","Plano, TX","Naperville, IL","Chandler, AZ","Irvine, CA","Huntington Beach, CA","Santa Clarita, CA","Simi Valley, CA","Thousand Oaks, CA","Allentown, PA","Fresno, CA","San Jose, CA","Santa Clara, CA","Sunnyvale, CA","Berkeley, CA","Carolina, PR"
"Fullerton","CA","1600000US0628000","West Covina, CA","Corona, CA","San Buenaventura, CA","Hayward, CA","Westminster, CO","Thornton, CO","Fort Collins, CO","Arlington, TX","Austin, TX","Dallas, TX","Cincinnati, OH","Coral Springs, FL","Miramar, FL","Burlington, VT","Honolulu, HI"
"Gainesville","FL","1600000US1225175","Savannah, GA","Knoxville, TN","Jackson, MS","Clarksville, TN","Springfield (MO), MO","Toledo, OH","South Bend, IN","Waco, TX","Denton, TX","Lansing, MI","Buffalo, NY","Pueblo, CO","Albuquerque, NM","Boise City, ID","Everett, WA"
"Garden Grove","CA","1600000US0629000","Santa Ana, CA","Long Beach, CA","Norwalk, CA","Glendale (CA), CA","Oxnard, CA","Oakland, CA","Billings, MT","Dallas, TX","Minneapolis, MN","Durham, NC","Pembroke Pines, FL","Anchorage, AK","Yonkers, NY","Bridgeport, CT","Honolulu, HI"
"Garland","TX","1600000US4829000","Irving, TX","Lincoln, NE","Omaha, NE","Des Moines, IA","Arvada, CO","Fort Wayne, IN","West Valley City, UT","Las Vegas, NV","Moreno Valley, CA","Ontario, CA","Visalia, CA","Sacramento, CA","Eugene, OR","Vancouver, WA","Tacoma, WA"
"Glendale (AZ)","AZ","1600000US0427820","Tempe, AZ","Mesa, AZ","Aurora (CO), CO","Stockton, CA","Salem, OR","Gresham, OR","Pasadena (TX), TX","Lafayette, LA","Detroit, MI","St. Petersburg, FL","Alexandria, VA","Hollywood, FL","Norfolk, VA","Worcester, MA","Portland (ME), ME"
"Glendale (CA)","CA","1600000US0630000","Pomona, CA","Las Vegas, NV","Salinas, CA","Modesto, CA","Oakland, CA","Glendale (AZ), AZ","Sacramento, CA","West Valley City, UT","Eugene, OR","Arvada, CO","Tacoma, WA","Des Moines, IA","Minneapolis, MN","St. Paul, MN","Fort Wayne, IN"
"Grand Prairie","TX","1600000US4830464","Columbia (MO), MO","Centennial, CO","Lakewood, CO","Chicago, IL","Madison, WI","Charleston (WV), WV","Raleigh, NC","Fort Lauderdale, FL","Riverside, CA","Ontario, CA","Baltimore, MD","Antioch, CA","Vallejo, CA","Richmond (CA), CA","Manchester, NH"
"Grand Rapids","MI","1600000US2634000","Warren, MI","Rockford, IL","Pittsburgh, PA","Evansville, IN","Wilmington (DE), DE","Greensboro, NC","Richmond (VA), VA","Waterbury, CT","Frisco, TX","Miami Gardens, FL","Laredo, TX","Provo, UT","Spokane, WA","San Bernardino, CA","Bayam<U+0086>n, PR"
"Green Bay","WI","1600000US5531000","Akron, OH","Independence, MO","Topeka, KS","Tulsa, OK","Greensboro, NC","High Point, NC","Montgomery, AL","Wilmington (NC), NC","Fort Worth, TX","Lubbock, TX","Orlando, FL","Palm Bay, FL","Provo, UT","McAllen, TX","Fontana, CA"
"Greensboro","NC","1600000US3728000","High Point, NC","Winston-Salem, NC","Wilmington (NC), NC","Columbus (GA), GA","Montgomery, AL","Tallahassee, FL","Orlando, FL","Palm Bay, FL","Topeka, KS","Tulsa, OK","Laredo, TX","Bayam<U+0086>n, PR","Provo, UT","Bellevue, WA","Greensboro, NC"
"Gresham","OR","1600000US4131250","Salem, OR","Stockton, CA","Modesto, CA","Glendale (CA), CA","Aurora (CO), CO","Tempe, AZ","Mesa, AZ","St. Paul, MN","Pasadena (TX), TX","Cleveland, OH","Norfolk, VA","St. Petersburg, FL","Worcester, MA","Portland (ME), ME","Hollywood, FL"
"Hampton","VA","1600000US5135000","Newport News, VA","Charlotte, NC","Boston, MA","Birmingham, AL","Springfield (IL), IL","Lincoln, NE","Mesquite, TX","Pasadena (TX), TX","Killeen, TX","Denver, CO","Mesa, AZ","Anaheim, CA","El Monte, CA","Vancouver, WA","Fairfield, CA"
"Hartford","CT","1600000US0937000","Springfield (MA), MA","New Haven, CT","Syracuse, NY","Rochester (NY), NY","Toledo, OH","Milwaukee, WI","Clarksville, TN","St. Louis, MO","Hialeah, FL","Beaumont, TX","Carrollton, TX","Amarillo, TX","Colorado Springs, CO","Downey, CA","Burbank, CA"
"Hayward","CA","1600000US0633000","San Buenaventura, CA","Corona, CA","Henderson, NV","West Jordan, UT","Westminster, CO","Fort Collins, CO","Thornton, CO","Fargo, ND","Arlington, TX","Austin, TX","Rochester (MN), MN","Cincinnati, OH","Virginia Beach, VA","Coral Springs, FL","Miramar, FL"
"Henderson","NV","1600000US3231900","Peoria (AZ), AZ","Surprise, AZ","Santa Rosa, CA","Fort Collins, CO","Kent, WA","Arlington, TX","Austin, TX","Rochester (MN), MN","Joliet, IL","Sterling Heights, MI","Virginia Beach, VA","Pembroke Pines, FL","Miramar, FL","Elizabeth, NJ","Henderson, NV"
"Hialeah","FL","1600000US1230000","Miami, FL","Beaumont, TX","San Juan, PR","Newark, NJ","Carrollton, TX","New Haven, CT","Rochester (NY), NY","Syracuse, NY","Providence, RI","Milwaukee, WI","Amarillo, TX","Colorado Springs, CO","Downey, CA","Burbank, CA","Hayward, CA"
"High Point","NC","1600000US3731400","Greensboro, NC","Wilmington (NC), NC","Columbus (OH), OH","Akron, OH","Montgomery, AL","Orlando, FL","Palm Bay, FL","Independence, MO","Topeka, KS","Tulsa, OK","Fort Worth, TX","Provo, UT","Fontana, CA","Gresham, OR","Bellevue, WA"
"Hollywood","FL","1600000US1232000","St. Petersburg, FL","Norfolk, VA","Hampton, VA","Pasadena (TX), TX","Cleveland, OH","Worcester, MA","Portland (ME), ME","St. Paul, MN","Aurora (CO), CO","Mesa, AZ","Tempe, AZ","Glendale (CA), CA","Modesto, CA","Stockton, CA","Salem, OR"
"Honolulu","HI","1600000US1571550","Santa Rosa, CA","Oxnard, CA","Oceanside, CA","Riverside, CA","Kent, WA","Anchorage, AK","Fort Collins, CO","Austin, TX","Arlington, TX","Cincinnati, OH","Sterling Heights, MI","Pembroke Pines, FL","Miramar, FL","Hialeah, FL","Elizabeth, NJ"
"Houston","TX","1600000US4835000","San Antonio, TX","Oklahoma City, OK","Wichita, KS","Kansas City (MO), MO","Tampa, FL","Jacksonville, FL","Indianapolis, IN","Aurora (CO), CO","Elgin, IL","Mesa, AZ","Phoenix, AZ","Alexandria, VA","Las Vegas, NV","Concord, CA","Daly City, CA"
"Huntington Beach","CA","1600000US0636000","Orange, CA","Torrance, CA","Rancho Cucamonga, CA","Temecula, CA","Santa Clarita, CA","Simi Valley, CA","Escondido, CA","San Jose, CA","Roseville, CA","Plano, TX","McKinney, TX","Olathe, KS","Allentown, PA","Stamford, CT","Carolina, PR"
"Huntsville","AL","1600000US0137000","Lexington-Fayette, KY","Charlotte, NC","Dayton, OH","Springfield (IL), IL","Clearwater, FL","Norman, OK","Oklahoma City, OK","Port St. Lucie, FL","Killeen, TX","Denver, CO","Salt Lake City, UT","Carlsbad, CA","Anaheim, CA","Costa Mesa, CA","Lancaster, CA"
"Independence","MO","1600000US2935000","Topeka, KS","Tulsa, OK","Wichita Falls, TX","Fort Worth, TX","Lubbock, TX","Columbus (OH), OH","Montgomery, AL","Akron, OH","Greensboro, NC","Columbia (SC), SC","Wilmington (NC), NC","Orlando, FL","Palm Bay, FL","Hollywood, FL","Fontana, CA"
"Indianapolis","IN","1600000US1836003","Elgin, IL","Winston-Salem, NC","Greensboro, NC","Topeka, KS","Montgomery, AL","Tulsa, OK","Wilmington (NC), NC","Fort Worth, TX","Orlando, FL","Tampa, FL","Hollywood, FL","Provo, UT","Spokane, WA","Gresham, OR","Daly City, CA"
"Inglewood","CA","1600000US0636546","Santa Ana, CA","Elk Grove, CA","El Paso, TX","Amarillo, TX","Brownsville, TX","Baton Rouge, LA","Pittsburgh, PA","Miami Gardens, FL","Miami, FL","Wilmington (DE), DE","Philadelphia, PA","Newark, NJ","New Haven, CT","Providence, RI","Lowell, MA"
"Irvine","CA","1600000US0636770","Temecula, CA","Escondido, CA","Santa Clarita, CA","Simi Valley, CA","Thousand Oaks, CA","Chandler, AZ","San Jose, CA","Santa Clara, CA","Berkeley, CA","Plano, TX","McKinney, TX","Huntsville, AL","Allentown, PA","Stamford, CT","Carolina, PR"
"Irving","TX","1600000US4837000","Birmingham, AL","Murfreesboro, TN","Arvada, CO","Sioux Falls, SD","Aurora (IL), IL","Glendale (AZ), AZ","West Valley City, UT","North Las Vegas, NV","Ontario, CA","Visalia, CA","Manchester, NH","Boston, MA","Eugene, OR","Vancouver, WA","Tacoma, WA"
"Jackson","MS","1600000US2836000","New Orleans, LA","Clarksville, TN","Springfield (MO), MO","Waco, TX","Knoxville, TN","Savannah, GA","South Bend, IN","Toledo, OH","Lansing, MI","Pueblo, CO","Albuquerque, NM","Buffalo, NY","Garden Grove, CA","Boise City, ID","Everett, WA"
"Jacksonville","FL","1600000US1235000","Clearwater, FL","West Palm Beach, FL","Alexandria, VA","Dayton, OH","Little Rock, AR","Independence, MO","Kansas City (MO), MO","Oklahoma City, OK","Wichita, KS","Lubbock, TX","Salt Lake City, UT","Victorville, CA","Anaheim, CA","Lancaster, CA","Reno, NV"
"Jersey City","NJ","1600000US3436000","Yonkers, NY","Bridgeport, CT","Washington, DC","Durham, NC","Davenport, IA","Garland, TX","Dallas, TX","Billings, MT","Chula Vista, CA","Santa Ana, CA","Norwalk, CA","Long Beach, CA","Oxnard, CA","Oakland, CA","Anchorage, AK"
"Joliet","IL","1600000US1738570","Chicago, IL","Sterling Heights, MI","Rochester (MN), MN","Baltimore, MD","Elizabeth, NJ","Arlington, TX","Lakewood, CO","Austin, TX","Pembroke Pines, FL","Hialeah, FL","Surprise, AZ","Oceanside, CA","Kent, WA","Vallejo, CA","Santa Rosa, CA"
"Kansas City (KS)","KS","1600000US2036000","Rockford, IL","Shreveport, LA","New Orleans, LA","Mobile, AL","Columbus (GA), GA","Winston-Salem, NC","Tallahassee, FL","Laredo, TX","Provo, UT","Savannah, GA","Chesapeake, VA","Tucson, AZ","Gresham, OR","Bellevue, WA","Bayam<U+0086>n, PR"
"Kansas City (MO)","MO","1600000US2938000","Wichita, KS","Peoria (IL), IL","Little Rock, AR","Wichita Falls, TX","Lubbock, TX","Detroit, MI","Columbia (SC), SC","Fayetteville, NC","Salt Lake City, UT","Clearwater, FL","Jersey City, NJ","West Palm Beach, FL","Victorville, CA","Lancaster, CA","Reno, NV"
"Kent","WA","1600000US5335415","Santa Rosa, CA","Vallejo, CA","Antioch, CA","Riverside, CA","Lakewood, CO","Oceanside, CA","Kansas City (KS), KS","Arlington, TX","Chicago, IL","Austin, TX","Houston, TX","Sterling Heights, MI","Elizabeth, NJ","Pembroke Pines, FL","Hialeah, FL"
"Killeen","TX","1600000US4839148","Pasadena (TX), TX","Lafayette, LA","Clearwater, FL","Dayton, OH","Charlotte, NC","Salt Lake City, UT","Fayetteville, NC","Detroit, MI","Anaheim, CA","Lancaster, CA","Reno, NV","Fairfield, CA","Hartford, CT","Salem, OR","Portland (ME), ME"
"Knoxville","TN","1600000US4740000","Savannah, GA","Memphis, TN","Toledo, OH","Jacksonville, FL","South Bend, IN","Lansing, MI","Springfield (MO), MO","New Orleans, LA","Buffalo, NY","Waco, TX","Pueblo, CO","Albuquerque, NM","Boise City, ID","Garden Grove, CA","Everett, WA"
"Lafayette","LA","1600000US2240735","Little Rock, AR","Wichita, KS","Knoxville, TN","Peoria (IL), IL","West Palm Beach, FL","Dayton, OH","Fayetteville, NC","Detroit, MI","Salt Lake City, UT","Victorville, CA","Portland (ME), ME","Anaheim, CA","Lancaster, CA","Reno, NV","Salem, OR"
"Lakewood","CO","1600000US0843000","Moreno Valley, CA","Riverside, CA","Ontario, CA","Oceanside, CA","Madison, WI","Antioch, CA","Vallejo, CA","Chicago, IL","Richmond (CA), CA","Portland (OR), OR","Grand Rapids, MI","Raleigh, NC","Baltimore, MD","Fort Lauderdale, FL","Manchester, NH"
"Lancaster","CA","1600000US0640130","Victorville, CA","Anaheim, CA","Reno, NV","Salt Lake City, UT","Lakewood, CO","Denver, CO","Little Rock, AR","Peoria (IL), IL","Dayton, OH","Knoxville, TN","Detroit, MI","Charlotte, NC","Clearwater, FL","Fayetteville, NC","West Palm Beach, FL"
"Lansing","MI","1600000US2646000","Toledo, OH","South Bend, IN","Rockford, IL","St. Louis, MO","Clarksville, TN","Springfield (MO), MO","Memphis, TN","Springfield (MA), MA","Savannah, GA","Lafayette, LA","Pueblo, CO","Albuquerque, NM","Tucson, AZ","San Bernardino, CA","Everett, WA"
"Laredo","TX","1600000US4841464","Shreveport, LA","Mobile, AL","Kansas City (MO), MO","Tallahassee, FL","Provo, UT","Rockford, IL","Winston-Salem, NC","Green Bay, WI","Wilmington (NC), NC","Richmond (VA), VA","Chesapeake, VA","Gresham, OR","Waterbury, CT","Bellevue, WA","Bayam<U+0086>n, PR"
"Las Vegas","NV","1600000US3240000","Visalia, CA","Glendale (AZ), AZ","Tempe, AZ","Mesa, AZ","Modesto, CA","Sacramento, CA","Eugene, OR","Vancouver, WA","Tacoma, WA","Lincoln, NE","Mesquite, TX","Omaha, NE","St. Paul, MN","Jackson, MS","Fort Wayne, IN"
"Lexington-Fayette","KY","1600000US2146027","Murfreesboro, TN","Charlotte, NC","Springfield (IL), IL","Newport News, VA","Independence, MO","Hartford, CT","Norman, OK","Oklahoma City, OK","Boston, MA","Port St. Lucie, FL","Denver, CO","Carlsbad, CA","Anaheim, CA","El Monte, CA","Costa Mesa, CA"
"Lincoln","NE","1600000US3128000","Omaha, NE","Springfield (IL), IL","Mesquite, TX","Murfreesboro, TN","Birmingham, AL","Pasadena (TX), TX","Mesa, AZ","Newport News, VA","Hartford, CT","El Monte, CA","Costa Mesa, CA","Boston, MA","Vancouver, WA","Fairfield, CA","Eugene, OR"
"Little Rock","AR","1600000US0541000","Wichita, KS","Peoria (IL), IL","Lubbock, TX","Dayton, OH","Columbia (SC), SC","Lansing, MI","Detroit, MI","Clearwater, FL","Fayetteville, NC","Lakewood, CO","West Palm Beach, FL","Salt Lake City, UT","Victorville, CA","Reno, NV","Kent, WA"
"Long Beach","CA","1600000US0643000","Norwalk, CA","Santa Ana, CA","Pomona, CA","Salinas, CA","Modesto, CA","Oakland, CA","Sacramento, CA","Grand Prairie, TX","Garland, TX","Minneapolis, MN","St. Paul, MN","Fort Wayne, IN","Yonkers, NY","Bridgeport, CT","Lowell, MA"
"Los Angeles","CA","1600000US0644000","Huntington Beach, CA","Chula Vista, CA","Oakland, CA","Concord, CA","Daly City, CA","Sacramento, CA","Phoenix, AZ","Portland (OR), OR","San Antonio, TX","Des Moines, IA","Minneapolis, MN","Baton Rouge, LA","Lexington-Fayette, KY","Philadelphia, PA","Los Angeles, CA"
"Lowell","MA","1600000US2537000","Worcester, MA","Hampton, VA","Fort Wayne, IN","Lexington-Fayette, KY","St. Paul, MN","Minneapolis, MN","Grand Prairie, TX","Tempe, AZ","Pomona, CA","Los Angeles, CA","Modesto, CA","Sacramento, CA","Stockton, CA","Salinas, CA","Honolulu, HI"
"Lubbock","TX","1600000US4845000","Wichita Falls, TX","Fort Worth, TX","Wichita, KS","McAllen, TX","Peoria (IL), IL","Victorville, CA","Fontana, CA","Long Beach, CA","Indianapolis, IN","Columbia (SC), SC","Fayetteville, NC","Palm Bay, FL","West Palm Beach, FL","Kent, WA","Cambridge, MA"
"Madison","WI","1600000US5548000","Aurora (IL), IL","Grand Rapids, MI","Columbia (MO), MO","Sioux Falls, SD","Charleston (WV), WV","Baltimore, MD","Raleigh, NC","Centennial, CO","Manchester, NH","Fort Lauderdale, FL","North Las Vegas, NV","Moreno Valley, CA","Ontario, CA","Lancaster, CA","Richmond (CA), CA"
"Manchester","NH","1600000US3345140","Raleigh, NC","Aurora (IL), IL","Columbia (MO), MO","Jackson, MS","Fort Lauderdale, FL","Sioux Falls, SD","Centennial, CO","Arvada, CO","West Valley City, UT","Moreno Valley, CA","Ontario, CA","Visalia, CA","Antioch, CA","Richmond (CA), CA","Manchester, NH"
"McAllen","TX","1600000US4845384","Fort Worth, TX","Wichita Falls, TX","Wichita, KS","Tampa, FL","Evansville, IN","Orlando, FL","Peoria (IL), IL","Indianapolis, IN","Columbia (SC), SC","Madison, WI","Greensboro, NC","Fayetteville, NC","Detroit, MI","Warren, MI","Cambridge, MA"
"McKinney","TX","1600000US4845744","Plano, TX","Corpus Christi, TX","Olathe, KS","Huntsville, AL","Ann Arbor, MI","Escondido, CA","Temecula, CA","Murrieta, CA","Rancho Cucamonga, CA","Orange, CA","Torrance, CA","Santa Clarita, CA","Stamford, CT","Roseville, CA","San Jose, CA"
"Memphis","TN","1600000US4748000","Springfield (MO), MO","Shreveport, LA","Mobile, AL","New Orleans, LA","Lafayette, LA","Kansas City (MO), MO","South Bend, IN","Rockford, IL","Savannah, GA","Laredo, TX","Pueblo, CO","Albuquerque, NM","Tucson, AZ","San Bernardino, CA","Everett, WA"
"Mesa","AZ","1600000US0446000","Tempe, AZ","Aurora (CO), CO","Fairfield, CA","Mesquite, TX","Salem, OR","Pasadena (TX), TX","Omaha, NE","Vancouver, WA","Little Rock, AR","Lexington-Fayette, KY","Knoxville, TN","Alexandria, VA","Newport News, VA","Hartford, CT","Boston, MA"
"Mesquite","TX","1600000US4847892","Pasadena (TX), TX","Little Rock, AR","Birmingham, AL","Omaha, NE","Springfield (IL), IL","Knoxville, TN","Tempe, AZ","Newport News, VA","El Monte, CA","Hartford, CT","Fairfield, CA","Boston, MA","Eugene, OR","Vancouver, WA","Mesquite, TX"
"Miami","FL","1600000US1245000","High Point, NC","Beaumont, TX","Philadelphia, PA","Newark, NJ","Paterson, NJ","Carrollton, TX","New Haven, CT","Rochester (NY), NY","Syracuse, NY","Providence, RI","Milwaukee, WI","Amarillo, TX","El Paso, TX","Burbank, CA","Hayward, CA"
"Miami Gardens","FL","1600000US1245060","Richmond (VA), VA","Wilmington (DE), DE","Pittsburgh, PA","Bayam<U+0086>n, PR","St. Louis, MO","Frisco, TX","New Haven, CT","Waterbury, CT","Laredo, TX","Springfield (MA), MA","Milwaukee, WI","Green Bay, WI","Amarillo, TX","Las Vegas, NV","San Bernardino, CA"
"Midland","TX","1600000US4848072","Westminster, CO","Thornton, CO","Scottsdale, AZ","Peoria (AZ), AZ","Overland Park, KS","Cheyenne, WY","Henderson, NV","West Jordan, UT","Cedar Rapids, IA","Rochester (MN), MN","Atlanta, GA","Fargo, ND","Charleston (SC), SC","Coral Springs, FL","Virginia Beach, VA"
"Milwaukee","WI","1600000US5553000","Toledo, OH","St. Louis, MO","Pittsburgh, PA","Clarksville, TN","Rochester (NY), NY","Syracuse, NY","Wilmington (DE), DE","New Haven, CT","Springfield (MA), MA","Amarillo, TX","Midland, TX","Albuquerque, NM","Laredo, TX","San Bernardino, CA","Burbank, CA"
"Minneapolis","MN","1600000US2743000","St. Paul, MN","Des Moines, IA","Fort Wayne, IN","Lexington-Fayette, KY","Grand Prairie, TX","Lubbock, TX","Glendale (AZ), AZ","Tacoma, WA","Eugene, OR","Pomona, CA","Sacramento, CA","Modesto, CA","Los Angeles, CA","Oakland, CA","Salinas, CA"
"Miramar","FL","1600000US1245975","Hialeah, FL","Coral Springs, FL","Cincinnati, OH","Austin, TX","Arlington, TX","Burlington, VT","Rochester (MN), MN","Fargo, ND","Thornton, CO","Westminster, CO","Fort Collins, CO","West Jordan, UT","Henderson, NV","Corona, CA","San Buenaventura, CA"
"Mobile","AL","1600000US0150000","New Orleans, LA","Columbus (GA), GA","Tallahassee, FL","Shreveport, LA","Savannah, GA","Winston-Salem, NC","Kansas City (MO), MO","Chesapeake, VA","Rockford, IL","Tucson, AZ","Mesa, AZ","Las Vegas, NV","Bayam<U+0086>n, PR","Gresham, OR","Bellevue, WA"
"Modesto","CA","1600000US0648354","Sacramento, CA","Salinas, CA","Glendale (CA), CA","Pomona, CA","Eugene, OR","Tempe, AZ","Lubbock, TX","St. Paul, MN","Pasadena (TX), TX","Fort Wayne, IN","Lexington-Fayette, KY","Hampton, VA","Honolulu, HI","Miramar, FL","Worcester, MA"
"Montgomery","AL","1600000US0151000","Columbus (GA), GA","Orlando, FL","Greensboro, NC","Palm Bay, FL","Wilmington (NC), NC","Indianapolis, IN","Columbus (OH), OH","Hollywood, FL","Tulsa, OK","Fort Worth, TX","Akron, OH","Topeka, KS","Wichita Falls, TX","Fontana, CA","Gresham, OR"
"Moreno Valley","CA","1600000US0649270","Ontario, CA","Lancaster, CA","Visalia, CA","Antioch, CA","Richmond (CA), CA","Vallejo, CA","West Valley City, UT","Arvada, CO","Portland (OR), OR","Tacoma, WA","McAllen, TX","Des Moines, IA","Raleigh, NC","Fort Lauderdale, FL","Manchester, NH"
"Murfreesboro","TN","1600000US4751560","Birmingham, AL","Springfield (IL), IL","Little Rock, AR","Newport News, VA","Port St. Lucie, FL","Sioux Falls, SD","Hartford, CT","Boston, MA","North Las Vegas, NV","Carlsbad, CA","El Monte, CA","Costa Mesa, CA","Palmdale, CA","Fairfield, CA","Vancouver, WA"
"Murrieta","CA","1600000US0650076","Temecula, CA","Escondido, CA","Orange, CA","Rancho Cucamonga, CA","Pasadena (CA), CA","Scottsdale, AZ","Roseville, CA","Corpus Christi, TX","Olathe, KS","Overland Park, KS","Cedar Rapids, IA","Milwaukee, WI","Atlanta, GA","Charleston (SC), SC","Stamford, CT"
"Naperville","IL","1600000US1751622","Huntsville, AL","Allentown, PA","Plano, TX","Irving, TX","Chandler, AZ","Fullerton, CA","Fresno, CA","Santa Clarita, CA","Simi Valley, CA","Thousand Oaks, CA","San Jose, CA","Santa Clara, CA","Sunnyvale, CA","Berkeley, CA","Carolina, PR"
"New Haven","CT","1600000US0952000","Waterbury, CT","Springfield (MA), MA","Providence, RI","Wilmington (DE), DE","Syracuse, NY","Pittsburgh, PA","Green Bay, WI","St. Louis, MO","Minneapolis, MN","Baton Rouge, LA","Frisco, TX","Amarillo, TX","Midland, TX","San Bernardino, CA","Burbank, CA"
"New Orleans","LA","1600000US2255000","Lafayette, LA","Shreveport, LA","Tallahassee, FL","Springfield (MO), MO","Savannah, GA","Kansas City (MO), MO","Winston-Salem, NC","South Bend, IN","Rockford, IL","Chesapeake, VA","Pueblo, CO","Tucson, AZ","Mesa, AZ","Modesto, CA","Everett, WA"
"New York","NY","1600000US3651000","Yonkers, NY","Paterson, NJ","Bridgeport, CT","Philadelphia, PA","Lowell, MA","Joliet, IL","Garland, TX","Billings, MT","El Paso, TX","Chula Vista, CA","Irvine, CA","Santa Ana, CA","Norwalk, CA","Los Angeles, CA","San Francisco, CA"
"Newark","NJ","1600000US3451000","Paterson, NJ","Philadelphia, PA","Providence, RI","Syracuse, NY","Rochester (NY), NY","High Point, NC","Minneapolis, MN","Miami Gardens, FL","New Orleans, LA","Amarillo, TX","Brownsville, TX","El Paso, TX","Irvine, CA","Burbank, CA","Hayward, CA"
"Newport News","VA","1600000US5156000","Hartford, CT","Boston, MA","Birmingham, AL","Port St. Lucie, FL","Springfield (IL), IL","Miami, FL","Little Rock, AR","Omaha, NE","Mesquite, TX","Murrieta, CA","Carlsbad, CA","El Monte, CA","Costa Mesa, CA","Vancouver, WA","Fairfield, CA"
"Norfolk","VA","1600000US5157000","Hampton, VA","Cleveland, OH","Worcester, MA","Cambridge, MA","Warren, MI","Portland (ME), ME","Evansville, IN","Tampa, FL","St. Petersburg, FL","McKinney, TX","Spokane, WA","Glendale (CA), CA","Stockton, CA","Concord, CA","Honolulu, HI"
"Norman","OK","1600000US4052500","Independence, MO","Lincoln, NE","Centennial, CO","Denver, CO","Springfield (IL), IL","Sioux Falls, SD","Birmingham, AL","Aurora (IL), IL","North Las Vegas, NV","Murrieta, CA","Port St. Lucie, FL","Carlsbad, CA","Costa Mesa, CA","El Monte, CA","Palmdale, CA"
"North Las Vegas","NV","1600000US3251800","Palmdale, CA","Ontario, CA","Murrieta, CA","El Monte, CA","Visalia, CA","Costa Mesa, CA","Carlsbad, CA","Centennial, CO","Sioux Falls, SD","McAllen, TX","Columbia (MO), MO","Jackson, MS","Aurora (IL), IL","Birmingham, AL","Boston, MA"
"Norwalk","CA","1600000US0652526","Santa Ana, CA","Los Angeles, CA","Oxnard, CA","Oakland, CA","Billings, MT","Grand Prairie, TX","Dallas, TX","Garland, TX","Houston, TX","Gainesville, FL","Durham, NC","Anchorage, AK","Yonkers, NY","Bridgeport, CT","Burlington, VT"
"Oakland","CA","1600000US0653000","Antioch, CA","Sacramento, CA","Salinas, CA","Los Angeles, CA","Pomona, CA","Portland (OR), OR","Glendale (AZ), AZ","Tacoma, WA","Arvada, CO","Grand Prairie, TX","Garland, TX","Des Moines, IA","Murfreesboro, TN","Fort Wayne, IN","Miramar, FL"
"Oceanside","CA","1600000US0653322","Riverside, CA","Lancaster, CA","Antioch, CA","Richmond (CA), CA","Vallejo, CA","Portland (OR), OR","Killeen, TX","Chicago, IL","Murfreesboro, TN","Grand Rapids, MI","Sterling Heights, MI","Raleigh, NC","Fort Lauderdale, FL","Baltimore, MD","Elizabeth, NJ"
"Oklahoma City","OK","1600000US4055000","Independence, MO","Lincoln, NE","Denver, CO","Dayton, OH","Lansing, MI","Salt Lake City, UT","Charlotte, NC","Clearwater, FL","Victorville, CA","Anaheim, CA","Port St. Lucie, FL","Long Beach, CA","Reno, NV","Jersey City, NJ","Kent, WA"
"Olathe","KS","1600000US2052575","Overland Park, KS","Memphis, TN","Naperville, IL","Plano, TX","Ann Arbor, MI","Corpus Christi, TX","Charleston (SC), SC","Scottsdale, AZ","Stamford, CT","Temecula, CA","Rancho Cucamonga, CA","Escondido, CA","Orange, CA","Santa Clarita, CA","Roseville, CA"
"Omaha","NE","1600000US3137000","Aurora (CO), CO","Little Rock, AR","Mesquite, TX","Lexington-Fayette, KY","Birmingham, AL","Pasadena (TX), TX","Tempe, AZ","Norfolk, VA","Hartford, CT","Boston, MA","El Monte, CA","Vancouver, WA","Eugene, OR","Fairfield, CA","Miami, FL"
