"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Bayam<U+0086>n","PR","1600000US7206593","San Juan, PR","Carolina, PR","Ponce, PR","Hialeah, FL","Gainesville, FL","Birmingham, AL","Hartford, CT","Syracuse, NY","Cincinnati, OH","Dayton, OH","Rochester (NY), NY","Cleveland, OH","Buffalo, NY","Toledo, OH","Detroit, MI"
"Beaumont","TX","1600000US4807000","Tulsa, OK","Montgomery, AL","Columbus (GA), GA","Tallahassee, FL","Chattanooga, TN","Topeka, KS","Orlando, FL","Columbia (SC), SC","Palm Bay, FL","Winston-Salem, NC","High Point, NC","Greensboro, NC","Wilmington (NC), NC","Akron, OH","Provo, UT"
"Bellevue","WA","1600000US5305210","Fremont, CA","Sunnyvale, CA","Santa Clara, CA","San Jose, CA","Santa Clarita, CA","Simi Valley, CA","Thousand Oaks, CA","Huntington Beach, CA","Irvine, CA","Temecula, CA","Centennial, CO","Carlsbad, CA","McKinney, TX","Plano, TX","Allentown, PA"
"Berkeley","CA","1600000US0606000","Daly City, CA","Oxnard, CA","Burbank, CA","Downey, CA","West Covina, CA","Norwalk, CA","Fullerton, CA","Garden Grove, CA","Costa Mesa, CA","Chula Vista, CA","Seattle, WA","Anchorage, AK","Washington, DC","Yonkers, NY","Coral Springs, FL"
"Billings","MT","1600000US3006550","Boise City, ID","Sioux Falls, SD","Everett, WA","Vancouver, WA","Lincoln, NE","North Las Vegas, NV","Springfield (IL), IL","Irving, TX","Mesquite, TX","Murfreesboro, TN","Corpus Christi, TX","Durham, NC","Newport News, VA","Hampton, VA","Cape Coral, FL"
"Birmingham","AL","1600000US0107000","Jackson, MS","Knoxville, TN","Evansville, IN","Savannah, GA","Gainesville, FL","Cincinnati, OH","Springfield (MO), MO","Dayton, OH","South Bend, IN","Toledo, OH","Waco, TX","Lansing, MI","Brownsville, TX","Pueblo, CO","Albuquerque, NM"
"Boise City","ID","1600000US1608830","Vancouver, WA","Everett, WA","Lincoln, NE","Omaha, NE","Irving, TX","Mesquite, TX","Springfield (IL), IL","Corpus Christi, TX","Murfreesboro, TN","Birmingham, AL","Durham, NC","Newport News, VA","Hampton, VA","Cape Coral, FL","Port St. Lucie, FL"
"Boston","MA","1600000US2507000","Lowell, MA","Yonkers, NY","Jersey City, NJ","Chicago, IL","Minneapolis, MN","Billings, MT","Santa Ana, CA","Garden Grove, CA","Glendale (CA), CA","Norwalk, CA","Downey, CA","Long Beach, CA","Oxnard, CA","Oakland, CA","Anchorage, AK"
"Bridgeport","CT","1600000US0908000","New Haven, CT","Elizabeth, NJ","Providence, RI","Philadelphia, PA","Lowell, MA","Wilmington (DE), DE","Pittsburgh, PA","Milwaukee, WI","Miami Gardens, FL","Baton Rouge, LA","Amarillo, TX","El Monte, CA","Fresno, CA","Inglewood, CA","Stockton, CA"
"Brownsville","TX","1600000US4810768","Waco, TX","New Orleans, LA","Jackson, MS","Springfield (MO), MO","Albuquerque, NM","Pueblo, CO","Gainesville, FL","Evansville, IN","Knoxville, TN","Savannah, GA","Cincinnati, OH","South Bend, IN","Toledo, OH","Lansing, MI","Boise City, ID"
"Buffalo","NY","1600000US3611000","Rochester (NY), NY","Syracuse, NY","Cleveland, OH","Toledo, OH","Lansing, MI","New Haven, CT","Hartford, CT","Springfield (MA), MA","Cincinnati, OH","Milwaukee, WI","St. Louis, MO","Hialeah, FL","Amarillo, TX","Albuquerque, NM","Carolina, PR"
"Burbank","CA","1600000US0608954","West Covina, CA","Fullerton, CA","Costa Mesa, CA","Fontana, CA","San Buenaventura, CA","Chula Vista, CA","Hayward, CA","Concord, CA","West Jordan, UT","Westminster, CO","Thornton, CO","Arlington, TX","Austin, TX","Coral Springs, FL","Miramar, FL"
"Burlington","VT","1600000US5010675","Portland (ME), ME","Fort Wayne, IN","Green Bay, WI","Peoria (IL), IL","Des Moines, IA","Columbia (MO), MO","Fargo, ND","Tampa, FL","West Palm Beach, FL","Wichita, KS","Lafayette, LA","Wichita Falls, TX","Lubbock, TX","McAllen, TX","Victorville, CA"
"Cambridge","MA","1600000US2511000","Allentown, PA","Washington, DC","Billings, MT","Seattle, WA","Rancho Cucamonga, CA","West Covina, CA","Orange, CA","Pasadena (CA), CA","Costa Mesa, CA","Huntington Beach, CA","Torrance, CA","Elk Grove, CA","San Jose, CA","San Francisco, CA","Daly City, CA"
"Cape Coral","FL","1600000US1210275","Port St. Lucie, FL","Birmingham, AL","Huntsville, AL","Durham, NC","Murfreesboro, TN","Hampton, VA","Newport News, VA","Lexington-Fayette, KY","Charleston (WV), WV","Corpus Christi, TX","Springfield (IL), IL","Denton, TX","Norman, OK","Boston, MA","Palmdale, CA"
"Carlsbad","CA","1600000US0611194","Temecula, CA","Irvine, CA","Huntington Beach, CA","Santa Clarita, CA","Simi Valley, CA","Thousand Oaks, CA","San Jose, CA","Santa Clara, CA","Berkeley, CA","Elk Grove, CA","Centennial, CO","Plano, TX","McKinney, TX","Allentown, PA","Stamford, CT"
"Carolina","PR","1600000US7214290","Hialeah, FL","Gainesville, FL","Hartford, CT","Springfield (MA), MA","Syracuse, NY","Cincinnati, OH","Dayton, OH","Rochester (NY), NY","Cleveland, OH","Toledo, OH","Detroit, MI","Beaumont, TX","Albuquerque, NM","Boise City, ID","Burbank, CA"
"Carrollton","TX","1600000US4813024","Midland, TX","Overland Park, KS","Thornton, CO","Westminster, CO","Atlanta, GA","Chandler, AZ","West Jordan, UT","Coral Springs, FL","Miramar, FL","Chesapeake, VA","Virginia Beach, VA","San Buenaventura, CA","Concord, CA","Hayward, CA","Fairfield, CA"
"Cedar Rapids","IA","1600000US1912000","Madison, WI","Aurora (IL), IL","Sioux Falls, SD","Murfreesboro, TN","Norman, OK","Birmingham, AL","Irving, TX","Fort Collins, CO","Grand Prairie, TX","Colorado Springs, CO","Charleston (SC), SC","Manchester, NH","North Las Vegas, NV","Ontario, CA","Palmdale, CA"
"Centennial","CO","1600000US0812815","McKinney, TX","Plano, TX","Temecula, CA","Irvine, CA","Santa Clarita, CA","Huntington Beach, CA","Simi Valley, CA","Thousand Oaks, CA","Elk Grove, CA","San Jose, CA","Santa Clara, CA","Berkeley, CA","Allentown, PA","Stamford, CT","Carolina, PR"
"Chandler","AZ","1600000US0412000","Scottsdale, AZ","Murrieta, CA","Corona, CA","Rancho Cucamonga, CA","Pasadena (CA), CA","West Jordan, UT","Midland, TX","Roseville, CA","Concord, CA","Fairfield, CA","Olathe, KS","Overland Park, KS","Seattle, WA","Cedar Rapids, IA","Atlanta, GA"
"Charleston (SC)","SC","1600000US4513330","Raleigh, NC","Baltimore, MD","Aurora (IL), IL","Manchester, NH","Madison, WI","Grand Prairie, TX","Sioux Falls, SD","Colorado Springs, CO","Centennial, CO","Lakewood, CO","Cheyenne, WY","Fort Collins, CO","North Las Vegas, NV","Ontario, CA","Palmdale, CA"
"Charleston (WV)","WV","1600000US5414600","Lexington-Fayette, KY","Newport News, VA","Hampton, VA","Clarksville, TN","Huntsville, AL","Springfield (IL), IL","Davenport, IA","Port St. Lucie, FL","Denton, TX","Killeen, TX","Salt Lake City, UT","Carlsbad, CA","Lancaster, CA","Anaheim, CA","Reno, NV"
"Charlotte","NC","1600000US3712000","Raleigh, NC","Aurora (IL), IL","Madison, WI","Manchester, NH","Irving, TX","Fort Worth, TX","Sioux Falls, SD","Colorado Springs, CO","Centennial, CO","Denver, CO","Arvada, CO","North Las Vegas, NV","Moreno Valley, CA","Ontario, CA","Portland (OR), OR"
"Chattanooga","TN","1600000US4714000","Columbus (GA), GA","Columbia (SC), SC","Winston-Salem, NC","High Point, NC","Greensboro, NC","Tallahassee, FL","Mobile, AL","Wilmington (NC), NC","Shreveport, LA","Rockford, IL","Kansas City (KS), KS","Topeka, KS","Laredo, TX","Provo, UT","Bellevue, WA"
"Chesapeake","VA","1600000US5116000","Virginia Beach, VA","Atlanta, GA","Cedar Rapids, IA","Rochester (MN), MN","Overland Park, KS","Midland, TX","Thornton, CO","Westminster, CO","West Jordan, UT","Scottsdale, AZ","Peoria (AZ), AZ","Henderson, NV","Fairfield, CA","Concord, CA","Hayward, CA"
