"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Chula Vista","CA","1600000US0613392","1600000US0616532","1600000US0628000","1600000US0624680","1600000US0665042","1600000US0633000","1600000US0616000","1600000US0883835","1600000US0877290","1600000US4805000","1600000US4804000","1600000US1214400","1600000US1255775","1600000US1245975","1600000US5010675","1600000US1571550"
"Cincinnati","OH","1600000US3915000","1600000US1822000","1600000US3977000","1600000US1871000","1600000US4740000","1600000US2646000","1600000US2965000","1600000US2970000","1600000US3673000","1600000US2836000","1600000US2567000","1600000US1225175","1600000US4876000","1600000US0862000","1600000US3502000","1600000US0665000"
"Clarksville","TN","1600000US4715160","1600000US0541000","1600000US1759000","1600000US3712000","1600000US1919000","1600000US2938000","1600000US1921000","1600000US2240735","1600000US4839148","1600000US1276600","1600000US3825700","1600000US4967000","1600000US0682590","1600000US0602000","1600000US0640130","1600000US3260600"
"Clearwater","FL","1600000US1212875","1600000US1263000","1600000US1271000","1600000US1232000","1600000US5157000","1600000US1825000","1600000US4845384","1600000US2684000","1600000US2582000","1600000US2511000","1600000US2360545","1600000US0427820","1600000US5367000","1600000US0675000","1600000US4131250","1600000US4123850"
"Cleveland","OH","1600000US3916000","1600000US2622000","1600000US3977000","1600000US3921000","1600000US3663000","1600000US3673000","1600000US4715160","1600000US0937000","1600000US2836000","1600000US1225175","1600000US4813024","1600000US4807000","1600000US1230000","1600000US1608830","1600000US7276770","1600000US0608954"
"Colorado Springs","CO","1600000US0816000","1600000US0812815","1600000US0827425","1600000US4659020","1600000US3251800","1600000US4827000","1600000US4830464","1600000US0653896","1600000US5548000","1600000US1703012","1600000US0660620","1600000US4714000","1600000US5414600","1600000US3755000","1600000US2404000","1600000US3345140"
"Columbia (MO)","MO","1600000US2915670","1600000US2935000","1600000US1759000","1600000US1921000","1600000US2079000","1600000US0541000","1600000US1825000","1600000US4879000","1600000US3825700","1600000US4845000","1600000US3722920","1600000US4845384","1600000US1254000","1600000US1276600","1600000US2511000","1600000US0682590"
"Columbia (SC)","SC","1600000US4516000","1600000US3731400","1600000US3775000","1600000US3728000","1600000US3774440","1600000US1319000","1600000US5116000","1600000US1270600","1600000US0151000","1600000US1253000","1600000US1254000","1600000US3901000","1600000US2935000","1600000US4075000","1600000US2071000","1600000US5305210"
"Columbus (GA)","GA","1600000US1319000","1600000US0151000","1600000US1253000","1600000US3731400","1600000US3722920","1600000US3728000","1600000US1254000","1600000US3774440","1600000US5116000","1600000US3901000","1600000US4075000","1600000US2935000","1600000US2071000","1600000US5531000","1600000US5305210","1600000US1319000"
"Columbus (OH)","OH","1600000US3918000","1600000US3916000","1600000US5101000","1600000US5157000","1600000US1921000","1600000US2582000","1600000US2079000","1600000US1271000","1600000US1263000","1600000US4819000","1600000US4865000","1600000US0804000","1600000US4824000","1600000US0427820","1600000US0675000","1600000US4164900"
