"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Fort Lauderdale","FL","1600000US1224000","Eugene, OR","Sacramento, CA","Garland, TX","Tacoma, WA","Tempe, AZ","Las Vegas, NV","Vancouver, WA","St. Paul, MN","West Valley City, UT","Visalia, CA","Omaha, NE","Irving, TX","Modesto, CA","Mesquite, TX","Lincoln, NE"
"Fort Wayne","IN","1600000US1825000","McAllen, TX","Lubbock, TX","Tampa, FL","Green Bay, WI","Orlando, FL","Cambridge, MA","Independence, MO","Columbia (SC), SC","Palm Bay, FL","Fontana, CA","Topeka, KS","Tulsa, OK","High Point, NC","Wichita Falls, TX","Wilmington (NC), NC"
"Fort Worth","TX","1600000US4827000","Chattanooga, TN","Aurora (IL), IL","Columbia (MO), MO","North Las Vegas, NV","Sioux Falls, SD","Raleigh, NC","Madison, WI","Arvada, CO","Centennial, CO","Palmdale, CA","Irving, TX","Des Moines, IA","Costa Mesa, CA","Ontario, CA","Manchester, NH"
"Fremont","CA","1600000US0626000","Naperville, IL","Thousand Oaks, CA","Sunnyvale, CA","Santa Clara, CA","Frisco, TX","Berkeley, CA","Irvine, CA","Chandler, AZ","Carolina, PR","Simi Valley, CA","Allentown, PA","San Jose, CA","Plano, TX","Santa Clarita, CA","Huntington Beach, CA"
"Fresno","CA","1600000US0627000","Pittsburgh, PA","Grand Rapids, MI","Richmond (VA), VA","Spokane, WA","Waterbury, CT","Evansville, IN","Warren, MI","Norfolk, VA","Wilmington (DE), DE","Cleveland, OH","Stockton, CA","Bayam<U+0086>n, PR","Elgin, IL","Provo, UT","Laredo, TX"
"Frisco","TX","1600000US4827684","Naperville, IL","Fresno, CA","Sunnyvale, CA","Thousand Oaks, CA","Santa Clara, CA","Berkeley, CA","Irvine, CA","Chandler, AZ","Carolina, PR","Simi Valley, CA","Allentown, PA","San Jose, CA","Plano, TX","Santa Clarita, CA","Huntington Beach, CA"
"Fullerton","CA","1600000US0628000","Burlington, VT","Dallas, TX","Corona, CA","Cincinnati, OH","San Buenaventura, CA","Fort Collins, CO","West Covina, CA","Miramar, FL","Coral Springs, FL","Austin, TX","Arlington, TX","Thornton, CO","Hayward, CA","Honolulu, HI","Westminster, CO"
"Gainesville","FL","1600000US1225175","Jackson, MS","Boise City, ID","Buffalo, NY","Springfield (MO), MO","Waco, TX","Knoxville, TN","Pueblo, CO","South Bend, IN","Toledo, OH","Albuquerque, NM","Clarksville, TN","Everett, WA","Lansing, MI","Denton, TX","Savannah, GA"
"Garden Grove","CA","1600000US0629000","Yonkers, NY","Norwalk, CA","Oxnard, CA","Durham, NC","Anchorage, AK","Oakland, CA","Long Beach, CA","Bridgeport, CT","Santa Ana, CA","Honolulu, HI","Glendale (CA), CA","Billings, MT","Minneapolis, MN","Pembroke Pines, FL","Dallas, TX"
"Garland","TX","1600000US4829000","Tacoma, WA","West Valley City, UT","Visalia, CA","Eugene, OR","Irving, TX","Fort Wayne, IN","Arvada, CO","Vancouver, WA","Sacramento, CA","Ontario, CA","Des Moines, IA","Las Vegas, NV","Omaha, NE","Moreno Valley, CA","Lincoln, NE"
"Glendale (AZ)","AZ","1600000US0427820","St. Petersburg, FL","Salem, OR","Gresham, OR","Aurora (CO), CO","Pasadena (TX), TX","Portland (ME), ME","Hollywood, FL","Worcester, MA","Alexandria, VA","Detroit, MI","Tempe, AZ","Lafayette, LA","Norfolk, VA","Stockton, CA","Mesa, AZ"
"Glendale (CA)","CA","1600000US0630000","Minneapolis, MN","Oakland, CA","Salinas, CA","Fort Wayne, IN","Pomona, CA","Sacramento, CA","Glendale (AZ), AZ","Tacoma, WA","Modesto, CA","Des Moines, IA","Eugene, OR","St. Paul, MN","West Valley City, UT","Las Vegas, NV","Arvada, CO"
"Grand Prairie","TX","1600000US4830464","Baltimore, MD","Fort Lauderdale, FL","Madison, WI","Chicago, IL","Lakewood, CO","Raleigh, NC","Vallejo, CA","Charleston (WV), WV","Columbia (MO), MO","Manchester, NH","Richmond (CA), CA","Riverside, CA","Ontario, CA","Antioch, CA","Centennial, CO"
"Grand Rapids","MI","1600000US2634000","Waterbury, CT","Richmond (VA), VA","Pittsburgh, PA","Frisco, TX","Bayam<U+0086>n, PR","Spokane, WA","Laredo, TX","Provo, UT","Evansville, IN","Wilmington (DE), DE","Miami Gardens, FL","Warren, MI","Rockford, IL","San Bernardino, CA","Greensboro, NC"
"Green Bay","WI","1600000US5531000","Topeka, KS","High Point, NC","Wilmington (NC), NC","Orlando, FL","Fort Worth, TX","Palm Bay, FL","Independence, MO","Greensboro, NC","Tulsa, OK","McAllen, TX","Provo, UT","Fontana, CA","Montgomery, AL","Akron, OH","Lubbock, TX"
"Greensboro","NC","1600000US3728000","Orlando, FL","Tulsa, OK","Wilmington (NC), NC","Topeka, KS","High Point, NC","Provo, UT","Greensboro, NC","Bellevue, WA","Winston-Salem, NC","Palm Bay, FL","Montgomery, AL","Columbus (GA), GA","Tallahassee, FL","Laredo, TX","Bayam<U+0086>n, PR"
"Gresham","OR","1600000US4131250","Hollywood, FL","Glendale (CA), CA","Worcester, MA","St. Petersburg, FL","Tempe, AZ","St. Paul, MN","Salem, OR","Pasadena (TX), TX","Stockton, CA","Modesto, CA","Portland (ME), ME","Norfolk, VA","Aurora (CO), CO","Cleveland, OH","Mesa, AZ"
"Hampton","VA","1600000US5135000","Fairfield, CA","Mesquite, TX","Newport News, VA","Lincoln, NE","Boston, MA","El Monte, CA","Killeen, TX","Springfield (IL), IL","Pasadena (TX), TX","Anaheim, CA","Birmingham, AL","Charlotte, NC","Vancouver, WA","Mesa, AZ","Denver, CO"
"Hartford","CT","1600000US0937000","Burbank, CA","Rochester (NY), NY","Syracuse, NY","Carrollton, TX","Hialeah, FL","Springfield (MA), MA","Colorado Springs, CO","Milwaukee, WI","Clarksville, TN","St. Louis, MO","Beaumont, TX","Amarillo, TX","Downey, CA","New Haven, CT","Toledo, OH"
"Hayward","CA","1600000US0633000","Arlington, TX","Miramar, FL","Thornton, CO","Westminster, CO","Fort Collins, CO","Rochester (MN), MN","Fargo, ND","Henderson, NV","Austin, TX","Cincinnati, OH","Corona, CA","San Buenaventura, CA","West Jordan, UT","Virginia Beach, VA","Coral Springs, FL"
"Henderson","NV","1600000US3231900","Rochester (MN), MN","Joliet, IL","Arlington, TX","Henderson, NV","Elizabeth, NJ","Austin, TX","Miramar, FL","Santa Rosa, CA","Peoria (AZ), AZ","Sterling Heights, MI","Pembroke Pines, FL","Virginia Beach, VA","Surprise, AZ","Kent, WA","Fort Collins, CO"
"Hialeah","FL","1600000US1230000","Miami, FL","Newark, NJ","Hayward, CA","Burbank, CA","Rochester (NY), NY","Carrollton, TX","Syracuse, NY","Beaumont, TX","Providence, RI","Colorado Springs, CO","Downey, CA","Milwaukee, WI","Amarillo, TX","New Haven, CT","San Juan, PR"
"High Point","NC","1600000US3731400","Topeka, KS","Wilmington (NC), NC","Greensboro, NC","Orlando, FL","Gresham, OR","Palm Bay, FL","Tulsa, OK","Montgomery, AL","Independence, MO","Provo, UT","Bellevue, WA","Akron, OH","Fontana, CA","Fort Worth, TX","Columbus (OH), OH"
"Hollywood","FL","1600000US1232000","Hampton, VA","Worcester, MA","Glendale (CA), CA","St. Petersburg, FL","Stockton, CA","St. Paul, MN","Modesto, CA","Tempe, AZ","Norfolk, VA","Salem, OR","Pasadena (TX), TX","Cleveland, OH","Aurora (CO), CO","Portland (ME), ME","Mesa, AZ"
"Honolulu","HI","1600000US1571550","Pembroke Pines, FL","Santa Rosa, CA","Austin, TX","Kent, WA","Anchorage, AK","Sterling Heights, MI","Fort Collins, CO","Oxnard, CA","Cincinnati, OH","Elizabeth, NJ","Arlington, TX","Oceanside, CA","Miramar, FL","Hialeah, FL","Riverside, CA"
"Houston","TX","1600000US4835000","Phoenix, AZ","San Antonio, TX","Daly City, CA","Concord, CA","Jacksonville, FL","Alexandria, VA","Indianapolis, IN","Elgin, IL","Aurora (CO), CO","Mesa, AZ","Wichita, KS","Oklahoma City, OK","Las Vegas, NV","Kansas City (MO), MO","Tampa, FL"
"Huntington Beach","CA","1600000US0636000","Torrance, CA","San Jose, CA","Orange, CA","Plano, TX","Santa Clarita, CA","Escondido, CA","Temecula, CA","Allentown, PA","Stamford, CT","Rancho Cucamonga, CA","McKinney, TX","Roseville, CA","Simi Valley, CA","Olathe, KS","Carolina, PR"
"Huntsville","AL","1600000US0137000","Denver, CO","Lexington-Fayette, KY","Charlotte, NC","Port St. Lucie, FL","Dayton, OH","Springfield (IL), IL","Carlsbad, CA","Anaheim, CA","Lancaster, CA","Salt Lake City, UT","Clearwater, FL","Oklahoma City, OK","Costa Mesa, CA","Norman, OK","Killeen, TX"
"Independence","MO","1600000US2935000","Palm Bay, FL","Fontana, CA","Akron, OH","Montgomery, AL","Wichita Falls, TX","Greensboro, NC","Hollywood, FL","Lubbock, TX","Fort Worth, TX","Columbia (SC), SC","Topeka, KS","Columbus (OH), OH","Wilmington (NC), NC","Orlando, FL","Tulsa, OK"
"Indianapolis","IN","1600000US1836003","Elgin, IL","Tulsa, OK","Gresham, OR","Orlando, FL","Daly City, CA","Fort Worth, TX","Topeka, KS","Tampa, FL","Wilmington (NC), NC","Hollywood, FL","Provo, UT","Greensboro, NC","Spokane, WA","Montgomery, AL","Winston-Salem, NC"
"Inglewood","CA","1600000US0636546","Elk Grove, CA","El Paso, TX","Brownsville, TX","Providence, RI","Philadelphia, PA","Baton Rouge, LA","Newark, NJ","Lowell, MA","New Haven, CT","Wilmington (DE), DE","Santa Ana, CA","Amarillo, TX","Miami, FL","Miami Gardens, FL","Pittsburgh, PA"
"Irvine","CA","1600000US0636770","Chandler, AZ","Carolina, PR","Simi Valley, CA","Berkeley, CA","Santa Clara, CA","Plano, TX","Santa Clarita, CA","Thousand Oaks, CA","San Jose, CA","Allentown, PA","Huntsville, AL","McKinney, TX","Temecula, CA","Escondido, CA","Stamford, CT"
"Irving","TX","1600000US4837000","Visalia, CA","West Valley City, UT","Tacoma, WA","Glendale (AZ), AZ","Arvada, CO","Vancouver, WA","Eugene, OR","North Las Vegas, NV","Sioux Falls, SD","Birmingham, AL","Ontario, CA","Aurora (IL), IL","Boston, MA","Manchester, NH","Murfreesboro, TN"
"Jackson","MS","1600000US2836000","Buffalo, NY","Garden Grove, CA","Waco, TX","Boise City, ID","Springfield (MO), MO","Knoxville, TN","Pueblo, CO","South Bend, IN","Toledo, OH","Albuquerque, NM","Clarksville, TN","Everett, WA","Lansing, MI","Savannah, GA","New Orleans, LA"
"Jacksonville","FL","1600000US1235000","Oklahoma City, OK","Kansas City (MO), MO","Little Rock, AR","Wichita, KS","Salt Lake City, UT","Clearwater, FL","Lancaster, CA","Reno, NV","Alexandria, VA","Anaheim, CA","Dayton, OH","Victorville, CA","Independence, MO","West Palm Beach, FL","Lubbock, TX"
"Jersey City","NJ","1600000US3436000","Bridgeport, CT","Norwalk, CA","Yonkers, NY","Santa Ana, CA","Billings, MT","Garland, TX","Durham, NC","Long Beach, CA","Davenport, IA","Washington, DC","Oxnard, CA","Oakland, CA","Anchorage, AK","Chula Vista, CA","Dallas, TX"
"Joliet","IL","1600000US1738570","Elizabeth, NJ","Sterling Heights, MI","Surprise, AZ","Hialeah, FL","Chicago, IL","Santa Rosa, CA","Kent, WA","Pembroke Pines, FL","Rochester (MN), MN","Austin, TX","Baltimore, MD","Arlington, TX","Oceanside, CA","Vallejo, CA","Lakewood, CO"
"Kansas City (KS)","KS","1600000US2036000","Mobile, AL","Shreveport, LA","Tallahassee, FL","Chesapeake, VA","Winston-Salem, NC","Rockford, IL","New Orleans, LA","Bellevue, WA","Savannah, GA","Columbus (GA), GA","Laredo, TX","Tucson, AZ","Bayam<U+0086>n, PR","Gresham, OR","Provo, UT"
"Kansas City (MO)","MO","1600000US2938000","Little Rock, AR","Wichita, KS","Victorville, CA","West Palm Beach, FL","Lubbock, TX","Clearwater, FL","Columbia (SC), SC","Salt Lake City, UT","Lancaster, CA","Reno, NV","Wichita Falls, TX","Jersey City, NJ","Fayetteville, NC","Peoria (IL), IL","Detroit, MI"
"Kent","WA","1600000US5335415","Santa Rosa, CA","Sterling Heights, MI","Pembroke Pines, FL","Elizabeth, NJ","Houston, TX","Oceanside, CA","Austin, TX","Kansas City (KS), KS","Riverside, CA","Chicago, IL","Vallejo, CA","Lakewood, CO","Hialeah, FL","Antioch, CA","Arlington, TX"
"Killeen","TX","1600000US4839148","Anaheim, CA","Reno, NV","Lafayette, LA","Salt Lake City, UT","Lancaster, CA","Salem, OR","Hartford, CT","Pasadena (TX), TX","Detroit, MI","Dayton, OH","Fayetteville, NC","Charlotte, NC","Portland (ME), ME","Clearwater, FL","Fairfield, CA"
"Knoxville","TN","1600000US4740000","Pueblo, CO","Springfield (MO), MO","South Bend, IN","Waco, TX","Buffalo, NY","Jacksonville, FL","Everett, WA","Albuquerque, NM","Savannah, GA","Garden Grove, CA","Lansing, MI","Toledo, OH","New Orleans, LA","Memphis, TN","Boise City, ID"
"Lafayette","LA","1600000US2240735","Detroit, MI","Fayetteville, NC","Reno, NV","Portland (ME), ME","Peoria (IL), IL","Knoxville, TN","Wichita, KS","West Palm Beach, FL","Salem, OR","Salt Lake City, UT","Lancaster, CA","Little Rock, AR","Victorville, CA","Anaheim, CA","Dayton, OH"
"Lakewood","CO","1600000US0843000","Vallejo, CA","Riverside, CA","Oceanside, CA","Antioch, CA","Fort Lauderdale, FL","Baltimore, MD","Grand Rapids, MI","Chicago, IL","Richmond (CA), CA","Raleigh, NC","Madison, WI","Moreno Valley, CA","Manchester, NH","Ontario, CA","Portland (OR), OR"
"Lancaster","CA","1600000US0640130","Salt Lake City, UT","Dayton, OH","Clearwater, FL","Anaheim, CA","Reno, NV","Little Rock, AR","Charlotte, NC","Victorville, CA","Knoxville, TN","Fayetteville, NC","West Palm Beach, FL","Lakewood, CO","Detroit, MI","Denver, CO","Peoria (IL), IL"
"Lansing","MI","1600000US2646000","Everett, WA","Albuquerque, NM","South Bend, IN","San Bernardino, CA","Pueblo, CO","Toledo, OH","Clarksville, TN","Lafayette, LA","Springfield (MA), MA","Springfield (MO), MO","Tucson, AZ","St. Louis, MO","Savannah, GA","Memphis, TN","Rockford, IL"
"Laredo","TX","1600000US4841464","Bayam<U+0086>n, PR","Rockford, IL","Winston-Salem, NC","Tallahassee, FL","Richmond (VA), VA","Provo, UT","Shreveport, LA","Waterbury, CT","Gresham, OR","Mobile, AL","Chesapeake, VA","Bellevue, WA","Wilmington (NC), NC","Kansas City (MO), MO","Green Bay, WI"
"Las Vegas","NV","1600000US3240000","Sacramento, CA","Omaha, NE","Fort Wayne, IN","Eugene, OR","Tempe, AZ","St. Paul, MN","Mesa, AZ","Glendale (AZ), AZ","Tacoma, WA","Vancouver, WA","Lincoln, NE","Modesto, CA","Mesquite, TX","Jackson, MS","Visalia, CA"
"Lexington-Fayette","KY","1600000US2146027","Port St. Lucie, FL","Carlsbad, CA","Denver, CO","Independence, MO","Springfield (IL), IL","Costa Mesa, CA","Charlotte, NC","Norman, OK","El Monte, CA","Murfreesboro, TN","Oklahoma City, OK","Anaheim, CA","Newport News, VA","Hartford, CT","Boston, MA"
"Lincoln","NE","1600000US3128000","Mesquite, TX","Boston, MA","Fairfield, CA","Newport News, VA","Omaha, NE","Vancouver, WA","Hartford, CT","El Monte, CA","Mesa, AZ","Birmingham, AL","Costa Mesa, CA","Murfreesboro, TN","Pasadena (TX), TX","Eugene, OR","Springfield (IL), IL"
"Little Rock","AR","1600000US0541000","Victorville, CA","West Palm Beach, FL","Clearwater, FL","Fayetteville, NC","Lansing, MI","Salt Lake City, UT","Kent, WA","Columbia (SC), SC","Peoria (IL), IL","Dayton, OH","Reno, NV","Detroit, MI","Wichita, KS","Lakewood, CO","Lubbock, TX"
"Long Beach","CA","1600000US0643000","Oakland, CA","Minneapolis, MN","Grand Prairie, TX","Santa Ana, CA","Salinas, CA","Pomona, CA","Lowell, MA","Garland, TX","Yonkers, NY","Modesto, CA","Bridgeport, CT","Sacramento, CA","St. Paul, MN","Fort Wayne, IN","Norwalk, CA"
"Los Angeles","CA","1600000US0644000","Chula Vista, CA","Huntington Beach, CA","Phoenix, AZ","San Antonio, TX","Los Angeles, CA","Daly City, CA","Minneapolis, MN","Lexington-Fayette, KY","Concord, CA","Sacramento, CA","Oakland, CA","Des Moines, IA","Philadelphia, PA","Baton Rouge, LA","Portland (OR), OR"
"Lowell","MA","1600000US2537000","Pomona, CA","Salinas, CA","Modesto, CA","Minneapolis, MN","St. Paul, MN","Honolulu, HI","Hampton, VA","Grand Prairie, TX","Worcester, MA","Fort Wayne, IN","Sacramento, CA","Tempe, AZ","Los Angeles, CA","Stockton, CA","Lexington-Fayette, KY"
"Lubbock","TX","1600000US4845000","Columbia (SC), SC","Wichita Falls, TX","Fort Worth, TX","Peoria (IL), IL","West Palm Beach, FL","McAllen, TX","Fontana, CA","Victorville, CA","Indianapolis, IN","Long Beach, CA","Cambridge, MA","Wichita, KS","Kent, WA","Fayetteville, NC","Palm Bay, FL"
"Madison","WI","1600000US5548000","Fort Lauderdale, FL","Columbia (MO), MO","Raleigh, NC","Manchester, NH","Ontario, CA","Grand Rapids, MI","Richmond (CA), CA","Centennial, CO","Aurora (IL), IL","Moreno Valley, CA","Baltimore, MD","North Las Vegas, NV","Lancaster, CA","Sioux Falls, SD","Charleston (WV), WV"
"Manchester","NH","1600000US3345140","Ontario, CA","Richmond (CA), CA","Manchester, NH","Moreno Valley, CA","Fort Lauderdale, FL","Raleigh, NC","Arvada, CO","West Valley City, UT","Columbia (MO), MO","Jackson, MS","Visalia, CA","Aurora (IL), IL","Antioch, CA","Centennial, CO","Sioux Falls, SD"
"McAllen","TX","1600000US4845384","Cambridge, MA","Fort Worth, TX","Tampa, FL","Madison, WI","Peoria (IL), IL","Columbia (SC), SC","Greensboro, NC","Evansville, IN","Fayetteville, NC","Wichita Falls, TX","Detroit, MI","Wichita, KS","Indianapolis, IN","Warren, MI","Orlando, FL"
"McKinney","TX","1600000US4845744","Temecula, CA","Stamford, CT","Santa Clarita, CA","Escondido, CA","Plano, TX","Olathe, KS","Ann Arbor, MI","Rancho Cucamonga, CA","Roseville, CA","Orange, CA","Murrieta, CA","San Jose, CA","Corpus Christi, TX","Huntsville, AL","Torrance, CA"
"Memphis","TN","1600000US4748000","Tucson, AZ","New Orleans, LA","Savannah, GA","Everett, WA","Shreveport, LA","Pueblo, CO","Lafayette, LA","Laredo, TX","South Bend, IN","San Bernardino, CA","Rockford, IL","Mobile, AL","Albuquerque, NM","Kansas City (MO), MO","Springfield (MO), MO"
"Mesa","AZ","1600000US0446000","Omaha, NE","Aurora (CO), CO","Little Rock, AR","Pasadena (TX), TX","Mesquite, TX","Fairfield, CA","Hartford, CT","Tempe, AZ","Alexandria, VA","Salem, OR","Newport News, VA","Boston, MA","Vancouver, WA","Knoxville, TN","Lexington-Fayette, KY"
"Mesquite","TX","1600000US4847892","Fairfield, CA","Little Rock, AR","Hartford, CT","Newport News, VA","Boston, MA","Vancouver, WA","Omaha, NE","El Monte, CA","Mesquite, TX","Pasadena (TX), TX","Birmingham, AL","Tempe, AZ","Eugene, OR","Knoxville, TN","Springfield (IL), IL"
"Miami","FL","1600000US1245000","Newark, NJ","High Point, NC","Hayward, CA","Providence, RI","El Paso, TX","Burbank, CA","Rochester (NY), NY","Philadelphia, PA","Syracuse, NY","New Haven, CT","Milwaukee, WI","Amarillo, TX","Carrollton, TX","Paterson, NJ","Beaumont, TX"
"Miami Gardens","FL","1600000US1245060","Amarillo, TX","New Haven, CT","Wilmington (DE), DE","Pittsburgh, PA","St. Louis, MO","Green Bay, WI","Milwaukee, WI","San Bernardino, CA","Waterbury, CT","Springfield (MA), MA","Frisco, TX","Richmond (VA), VA","Bayam<U+0086>n, PR","Laredo, TX","Las Vegas, NV"
"Midland","TX","1600000US4848072","Cheyenne, WY","Atlanta, GA","Fargo, ND","Cedar Rapids, IA","West Jordan, UT","Virginia Beach, VA","Westminster, CO","Overland Park, KS","Thornton, CO","Peoria (AZ), AZ","Coral Springs, FL","Scottsdale, AZ","Rochester (MN), MN","Henderson, NV","Charleston (SC), SC"
"Milwaukee","WI","1600000US5553000","Amarillo, TX","St. Louis, MO","New Haven, CT","Midland, TX","Springfield (MA), MA","Burbank, CA","Syracuse, NY","San Bernardino, CA","Clarksville, TN","Wilmington (DE), DE","Pittsburgh, PA","Toledo, OH","Rochester (NY), NY","Albuquerque, NM","Laredo, TX"
"Minneapolis","MN","1600000US2743000","Grand Prairie, TX","Salinas, CA","Pomona, CA","Oakland, CA","Sacramento, CA","Modesto, CA","Lubbock, TX","Fort Wayne, IN","Los Angeles, CA","St. Paul, MN","Lexington-Fayette, KY","Glendale (AZ), AZ","Tacoma, WA","Eugene, OR","Des Moines, IA"
"Miramar","FL","1600000US1245975","Henderson, NV","Arlington, TX","Fort Collins, CO","Thornton, CO","Cincinnati, OH","Corona, CA","Westminster, CO","Austin, TX","San Buenaventura, CA","Fargo, ND","Coral Springs, FL","Hialeah, FL","West Jordan, UT","Rochester (MN), MN","Burlington, VT"
"Mobile","AL","1600000US0150000","Kansas City (MO), MO","Shreveport, LA","Tallahassee, FL","Winston-Salem, NC","Chesapeake, VA","Rockford, IL","New Orleans, LA","Bellevue, WA","Savannah, GA","Las Vegas, NV","Columbus (GA), GA","Tucson, AZ","Bayam<U+0086>n, PR","Gresham, OR","Mesa, AZ"
"Modesto","CA","1600000US0648354","St. Paul, MN","Pomona, CA","Honolulu, HI","Salinas, CA","Hampton, VA","Tempe, AZ","Fort Wayne, IN","Sacramento, CA","Lexington-Fayette, KY","Lubbock, TX","Glendale (CA), CA","Worcester, MA","Eugene, OR","Pasadena (TX), TX","Miramar, FL"
"Montgomery","AL","1600000US0151000","Akron, OH","Palm Bay, FL","Fontana, CA","Indianapolis, IN","Columbus (OH), OH","Hollywood, FL","Topeka, KS","Tulsa, OK","Greensboro, NC","Wichita Falls, TX","Wilmington (NC), NC","Columbus (GA), GA","Orlando, FL","Gresham, OR","Fort Worth, TX"
"Moreno Valley","CA","1600000US0649270","Richmond (CA), CA","Ontario, CA","McAllen, TX","Antioch, CA","Arvada, CO","Portland (OR), OR","Raleigh, NC","West Valley City, UT","Fort Lauderdale, FL","Manchester, NH","Des Moines, IA","Lancaster, CA","Visalia, CA","Tacoma, WA","Vallejo, CA"
"Murfreesboro","TN","1600000US4751560","Birmingham, AL","El Monte, CA","Costa Mesa, CA","Boston, MA","Newport News, VA","Carlsbad, CA","Springfield (IL), IL","Sioux Falls, SD","North Las Vegas, NV","Palmdale, CA","Port St. Lucie, FL","Little Rock, AR","Fairfield, CA","Vancouver, WA","Hartford, CT"
"Murrieta","CA","1600000US0650076","Roseville, CA","Corpus Christi, TX","Charleston (SC), SC","Overland Park, KS","Olathe, KS","Rancho Cucamonga, CA","Scottsdale, AZ","Atlanta, GA","Stamford, CT","Escondido, CA","Pasadena (CA), CA","Cedar Rapids, IA","Temecula, CA","Orange, CA","Milwaukee, WI"
"Naperville","IL","1600000US1751622","Fresno, CA","Fullerton, CA","Sunnyvale, CA","Thousand Oaks, CA","Santa Clara, CA","Berkeley, CA","Irving, TX","Chandler, AZ","Carolina, PR","Simi Valley, CA","Allentown, PA","San Jose, CA","Plano, TX","Santa Clarita, CA","Huntsville, AL"
"New Haven","CT","1600000US0952000","Amarillo, TX","Midland, TX","Minneapolis, MN","Wilmington (DE), DE","St. Louis, MO","Springfield (MA), MA","Pittsburgh, PA","Providence, RI","Green Bay, WI","San Bernardino, CA","Burbank, CA","Syracuse, NY","Baton Rouge, LA","Waterbury, CT","Frisco, TX"
"New Orleans","LA","1600000US2255000","Savannah, GA","Mesa, AZ","Tucson, AZ","Shreveport, LA","Modesto, CA","Kansas City (MO), MO","Lafayette, LA","Pueblo, CO","Everett, WA","Rockford, IL","Tallahassee, FL","Winston-Salem, NC","South Bend, IN","Chesapeake, VA","Springfield (MO), MO"
"New York","NY","1600000US3651000","Chula Vista, CA","Lowell, MA","Joliet, IL","Bridgeport, CT","Philadelphia, PA","Santa Ana, CA","Paterson, NJ","Yonkers, NY","Irvine, CA","San Francisco, CA","Norwalk, CA","Los Angeles, CA","Garland, TX","Billings, MT","El Paso, TX"
"Newark","NJ","1600000US3451000","Miami Gardens, FL","High Point, NC","El Paso, TX","Providence, RI","Philadelphia, PA","Hayward, CA","Burbank, CA","New Orleans, LA","Amarillo, TX","Paterson, NJ","Irvine, CA","Minneapolis, MN","Brownsville, TX","Syracuse, NY","Rochester (NY), NY"
"Newport News","VA","1600000US5156000","Boston, MA","El Monte, CA","Little Rock, AR","Fairfield, CA","Hartford, CT","Miami, FL","Birmingham, AL","Murrieta, CA","Vancouver, WA","Costa Mesa, CA","Springfield (IL), IL","Omaha, NE","Port St. Lucie, FL","Carlsbad, CA","Mesquite, TX"
"Norfolk","VA","1600000US5157000","Cleveland, OH","Stockton, CA","Warren, MI","Worcester, MA","St. Petersburg, FL","Evansville, IN","Tampa, FL","Glendale (CA), CA","Spokane, WA","McKinney, TX","Cambridge, MA","Honolulu, HI","Hampton, VA","Portland (ME), ME","Concord, CA"
"Norman","OK","1600000US4052500","Carlsbad, CA","Palmdale, CA","Lincoln, NE","Port St. Lucie, FL","Costa Mesa, CA","Murrieta, CA","Springfield (IL), IL","Denver, CO","Independence, MO","Sioux Falls, SD","Centennial, CO","North Las Vegas, NV","El Monte, CA","Birmingham, AL","Aurora (IL), IL"
"North Las Vegas","NV","1600000US3251800","Sioux Falls, SD","Aurora (IL), IL","Palmdale, CA","Centennial, CO","Murrieta, CA","Birmingham, AL","Jackson, MS","Costa Mesa, CA","El Monte, CA","Visalia, CA","Columbia (MO), MO","Boston, MA","McAllen, TX","Carlsbad, CA","Ontario, CA"
"Norwalk","CA","1600000US0652526","Yonkers, NY","Garland, TX","Durham, NC","Oxnard, CA","Bridgeport, CT","Billings, MT","Anchorage, AK","Los Angeles, CA","Santa Ana, CA","Oakland, CA","Dallas, TX","Houston, TX","Gainesville, FL","Burlington, VT","Grand Prairie, TX"
"Oakland","CA","1600000US0653000","Grand Prairie, TX","Miramar, FL","Los Angeles, CA","Salinas, CA","Portland (OR), OR","Des Moines, IA","Garland, TX","Sacramento, CA","Antioch, CA","Murfreesboro, TN","Pomona, CA","Fort Wayne, IN","Arvada, CO","Glendale (AZ), AZ","Tacoma, WA"
"Oceanside","CA","1600000US0653322","Riverside, CA","Vallejo, CA","Lancaster, CA","Antioch, CA","Killeen, TX","Sterling Heights, MI","Chicago, IL","Richmond (CA), CA","Baltimore, MD","Fort Lauderdale, FL","Raleigh, NC","Murfreesboro, TN","Grand Rapids, MI","Portland (OR), OR","Elizabeth, NJ"
"Oklahoma City","OK","1600000US4055000","Jersey City, NJ","Independence, MO","Kent, WA","Salt Lake City, UT","Clearwater, FL","Lansing, MI","Anaheim, CA","Lincoln, NE","Dayton, OH","Denver, CO","Long Beach, CA","Reno, NV","Charlotte, NC","Port St. Lucie, FL","Victorville, CA"
"Olathe","KS","1600000US2052575","Roseville, CA","Stamford, CT","Naperville, IL","Temecula, CA","Escondido, CA","Rancho Cucamonga, CA","Ann Arbor, MI","Memphis, TN","Scottsdale, AZ","Corpus Christi, TX","Overland Park, KS","Charleston (SC), SC","Orange, CA","Santa Clarita, CA","Plano, TX"
"Omaha","NE","1600000US3137000","Little Rock, AR","Mesquite, TX","Vancouver, WA","Miami, FL","Boston, MA","Fairfield, CA","Norfolk, VA","Eugene, OR","Lexington-Fayette, KY","Hartford, CT","Tempe, AZ","El Monte, CA","Pasadena (TX), TX","Aurora (CO), CO","Birmingham, AL"
