"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5","peer.6","peer.7","peer.8","peer.9","peer.10","peer.11","peer.12","peer.13","peer.14","peer.15"
"Bayam<U+0086>n","PR","1600000US7206593","Cleveland, OH","Detroit, MI","Carolina, PR","San Juan, PR","Dayton, OH","Hartford, CT","Rochester (NY), NY","Syracuse, NY","Buffalo, NY","Hialeah, FL","Gainesville, FL","Cincinnati, OH","Birmingham, AL","Toledo, OH","Ponce, PR"
"Beaumont","TX","1600000US4807000","Columbia (SC), SC","Chattanooga, TN","Winston-Salem, NC","Tallahassee, FL","Columbus (GA), GA","Greensboro, NC","High Point, NC","Wilmington (NC), NC","Topeka, KS","Montgomery, AL","Tulsa, OK","Orlando, FL","Provo, UT","Palm Bay, FL","Akron, OH"
"Bellevue","WA","1600000US5305210","Irvine, CA","Centennial, CO","Carlsbad, CA","Simi Valley, CA","Santa Clara, CA","Thousand Oaks, CA","Fremont, CA","Plano, TX","Santa Clarita, CA","San Jose, CA","Allentown, PA","Sunnyvale, CA","Huntington Beach, CA","McKinney, TX","Temecula, CA"
"Berkeley","CA","1600000US0606000","Downey, CA","Washington, DC","Norwalk, CA","Costa Mesa, CA","Yonkers, NY","West Covina, CA","Fullerton, CA","Garden Grove, CA","Oxnard, CA","Burbank, CA","Anchorage, AK","Seattle, WA","Daly City, CA","Chula Vista, CA","Coral Springs, FL"
"Billings","MT","1600000US3006550","Murfreesboro, TN","Boise City, ID","Durham, NC","Newport News, VA","Corpus Christi, TX","Vancouver, WA","Sioux Falls, SD","Springfield (IL), IL","Lincoln, NE","North Las Vegas, NV","Everett, WA","Mesquite, TX","Cape Coral, FL","Hampton, VA","Irving, TX"
"Birmingham","AL","1600000US0107000","Jackson, MS","Gainesville, FL","Brownsville, TX","Waco, TX","Springfield (MO), MO","Knoxville, TN","Pueblo, CO","Dayton, OH","South Bend, IN","Toledo, OH","Albuquerque, NM","Cincinnati, OH","Evansville, IN","Lansing, MI","Savannah, GA"
"Boise City","ID","1600000US1608830","Newport News, VA","Durham, NC","Lincoln, NE","Birmingham, AL","Everett, WA","Mesquite, TX","Vancouver, WA","Hampton, VA","Murfreesboro, TN","Corpus Christi, TX","Springfield (IL), IL","Omaha, NE","Port St. Lucie, FL","Cape Coral, FL","Irving, TX"
"Boston","MA","1600000US2507000","Santa Ana, CA","Yonkers, NY","Norwalk, CA","Garden Grove, CA","Long Beach, CA","Jersey City, NJ","Oakland, CA","Downey, CA","Oxnard, CA","Minneapolis, MN","Billings, MT","Anchorage, AK","Glendale (CA), CA","Chicago, IL","Lowell, MA"
"Bridgeport","CT","1600000US0908000","Elizabeth, NJ","Baton Rouge, LA","Providence, RI","Inglewood, CA","Wilmington (DE), DE","New Haven, CT","El Monte, CA","Amarillo, TX","Pittsburgh, PA","Miami Gardens, FL","Lowell, MA","Fresno, CA","Milwaukee, WI","Stockton, CA","Philadelphia, PA"
"Brownsville","TX","1600000US4810768","Waco, TX","Jackson, MS","Springfield (MO), MO","Knoxville, TN","Gainesville, FL","Boise City, ID","Pueblo, CO","South Bend, IN","Savannah, GA","Albuquerque, NM","Toledo, OH","Evansville, IN","New Orleans, LA","Lansing, MI","Cincinnati, OH"
"Buffalo","NY","1600000US3611000","Syracuse, NY","Rochester (NY), NY","Hartford, CT","Carolina, PR","Springfield (MA), MA","Milwaukee, WI","St. Louis, MO","Cincinnati, OH","Amarillo, TX","Toledo, OH","New Haven, CT","Albuquerque, NM","Cleveland, OH","Hialeah, FL","Lansing, MI"
"Burbank","CA","1600000US0608954","Fullerton, CA","Coral Springs, FL","Chula Vista, CA","Costa Mesa, CA","San Buenaventura, CA","Fontana, CA","West Covina, CA","Miramar, FL","Concord, CA","Austin, TX","Thornton, CO","Arlington, TX","Hayward, CA","Westminster, CO","West Jordan, UT"
"Burlington","VT","1600000US5010675","McAllen, TX","Peoria (IL), IL","Fort Wayne, IN","Tampa, FL","Columbia (MO), MO","Lubbock, TX","Fargo, ND","Portland (ME), ME","Des Moines, IA","Lafayette, LA","West Palm Beach, FL","Green Bay, WI","Wichita, KS","Wichita Falls, TX","Victorville, CA"
"Cambridge","MA","1600000US2511000","Daly City, CA","San Francisco, CA","Washington, DC","Allentown, PA","Torrance, CA","Huntington Beach, CA","Billings, MT","Orange, CA","Pasadena (CA), CA","San Jose, CA","Seattle, WA","West Covina, CA","Rancho Cucamonga, CA","Costa Mesa, CA","Elk Grove, CA"
"Cape Coral","FL","1600000US1210275","Port St. Lucie, FL","Springfield (IL), IL","Lexington-Fayette, KY","Corpus Christi, TX","Murfreesboro, TN","Denton, TX","Durham, NC","Norman, OK","Birmingham, AL","Palmdale, CA","Huntsville, AL","Newport News, VA","Boston, MA","Charleston (WV), WV","Hampton, VA"
"Carlsbad","CA","1600000US0611194","Simi Valley, CA","Centennial, CO","Irvine, CA","Berkeley, CA","Plano, TX","Santa Clarita, CA","San Jose, CA","McKinney, TX","Huntington Beach, CA","Santa Clara, CA","Thousand Oaks, CA","Temecula, CA","Elk Grove, CA","Stamford, CT","Allentown, PA"
"Carolina","PR","1600000US7214290","Rochester (NY), NY","Cleveland, OH","Hartford, CT","Syracuse, NY","Burbank, CA","Detroit, MI","Beaumont, TX","Dayton, OH","Cincinnati, OH","Toledo, OH","Springfield (MA), MA","Gainesville, FL","Hialeah, FL","Albuquerque, NM","Boise City, ID"
"Carrollton","TX","1600000US4813024","Atlanta, GA","West Jordan, UT","Concord, CA","Fairfield, CA","Westminster, CO","Thornton, CO","Midland, TX","Chandler, AZ","San Buenaventura, CA","Overland Park, KS","Coral Springs, FL","Virginia Beach, VA","Miramar, FL","Hayward, CA","Chesapeake, VA"
"Cedar Rapids","IA","1600000US1912000","Palmdale, CA","Sioux Falls, SD","Aurora (IL), IL","North Las Vegas, NV","Colorado Springs, CO","Madison, WI","Charleston (SC), SC","Manchester, NH","Murfreesboro, TN","Ontario, CA","Fort Collins, CO","Birmingham, AL","Norman, OK","Irving, TX","Grand Prairie, TX"
"Centennial","CO","1600000US0812815","Irvine, CA","Carolina, PR","Simi Valley, CA","Berkeley, CA","Plano, TX","Santa Clarita, CA","Santa Clara, CA","San Jose, CA","Thousand Oaks, CA","Allentown, PA","Huntington Beach, CA","McKinney, TX","Temecula, CA","Elk Grove, CA","Stamford, CT"
"Chandler","AZ","1600000US0412000","Corona, CA","Murrieta, CA","Overland Park, KS","Atlanta, GA","Roseville, CA","Cedar Rapids, IA","Pasadena (CA), CA","Scottsdale, AZ","West Jordan, UT","Concord, CA","Rancho Cucamonga, CA","Midland, TX","Seattle, WA","Olathe, KS","Fairfield, CA"
"Charleston (SC)","SC","1600000US4513330","Grand Prairie, TX","Centennial, CO","Madison, WI","Colorado Springs, CO","Fort Collins, CO","Baltimore, MD","Palmdale, CA","Aurora (IL), IL","Raleigh, NC","Cheyenne, WY","Manchester, NH","Sioux Falls, SD","North Las Vegas, NV","Ontario, CA","Lakewood, CO"
"Charleston (WV)","WV","1600000US5414600","Denton, TX","Davenport, IA","Anaheim, CA","Huntsville, AL","Lancaster, CA","Salt Lake City, UT","Port St. Lucie, FL","Springfield (IL), IL","Clarksville, TN","Killeen, TX","Hampton, VA","Lexington-Fayette, KY","Reno, NV","Carlsbad, CA","Newport News, VA"
