"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Rochester (NY)","NY","1600000US3663000","Providence, RI","Hialeah, FL","Bayam<U+0086>n, PR","Carolina, PR","Pomona, CA"
"Rockford","IL","1600000US1765000","Springfield (MO), MO","Des Moines, IA","Sioux Falls, SD","Knoxville, TN","Brownsville, TX"
"Roseville","CA","1600000US0662938","Temecula, CA","Fairfield, CA","Antioch, CA","West Jordan, UT","Stamford, CT"
"Sacramento","CA","1600000US0664000","Las Vegas, NV","Portland (OR), OR","Denver, CO","Fresno, CA","Detroit, MI"
"Salem","OR","1600000US4164900","Vancouver, WA","Boise City, ID","Eugene, OR","Ontario, CA","Irving, TX"
"Salinas","CA","1600000US0664224","Modesto, CA","Glendale (CA), CA","Pomona, CA","Garden Grove, CA","Oxnard, CA"
"Salt Lake City","UT","1600000US4967000","North Las Vegas, NV","Reno, NV","Peoria (AZ), AZ","Lancaster, CA","Little Rock, AR"
"San Antonio","TX","1600000US4865000","Dallas, TX","Houston, TX","Phoenix, AZ","San Diego, CA","Los Angeles, CA"
"San Bernardino","CA","1600000US0665000","Ontario, CA","Hayward, CA","Santa Clarita, CA","Eugene, OR","Laredo, TX"
"San Buenaventura","CA","1600000US0665042","Concord, CA","Kent, WA","Coral Springs, FL","Miramar, FL","Escondido, CA"
"San Diego","CA","1600000US0666000","Dallas, TX","Houston, TX","Phoenix, AZ","San Antonio, TX","Los Angeles, CA"
"San Francisco","CA","1600000US0667000","Fort Worth, TX","Indianapolis, IN","Jacksonville, FL","Austin, TX","Charlotte, NC"
"San Jose","CA","1600000US0668000","Dallas, TX","Houston, TX","Phoenix, AZ","San Antonio, TX","San Diego, CA"
"San Juan","PR","1600000US7276770","Pittsburgh, PA","Buffalo, NY","St. Paul, MN","Minneapolis, MN","Anaheim, CA"
"Santa Ana","CA","1600000US0669000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Santa Clara","CA","1600000US0669084","Sunnyvale, CA","Torrance, CA","Orange, CA","Alexandria, VA","Burbank, CA"
"Santa Clarita","CA","1600000US0669088","Elk Grove, CA","Irvine, CA","Hayward, CA","Boise City, ID","Irving, TX"
"Santa Rosa","CA","1600000US0670098","Fontana, CA","Corona, CA","Rancho Cucamonga, CA","Tacoma, WA","Aurora (IL), IL"
"Savannah","GA","1600000US1369000","Columbia (SC), SC","Gainesville, FL","Wilmington (NC), NC","Dayton, OH","Wichita Falls, TX"
"Scottsdale","AZ","1600000US0465000","Peoria (AZ), AZ","North Las Vegas, NV","Palmdale, CA","Amarillo, TX","Overland Park, KS"
"Seattle","WA","1600000US5363000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Shreveport","LA","1600000US2270000","Jackson, MS","Springfield (MO), MO","Mobile, AL","Brownsville, TX","Salt Lake City, UT"
"Simi Valley","CA","1600000US0672016","Carlsbad, CA","Temecula, CA","Roseville, CA","Centennial, CO","Naperville, IL"
"Sioux Falls","SD","1600000US4659020","Des Moines, IA","Overland Park, KS","Rockford, IL","Amarillo, TX","Durham, NC"
"South Bend","IN","1600000US1871000","Dayton, OH","Green Bay, WI","Columbia (MO), MO","High Point, NC","Palm Bay, FL"
"Spokane","WA","1600000US5367000","Eugene, OR","Vancouver, WA","Boise City, ID","San Bernardino, CA","Laredo, TX"
"Springfield (IL)","IL","1600000US1772000","Peoria (IL), IL","Davenport, IA","Cedar Rapids, IA","Norman, OK","Billings, MT"
"Springfield (MA)","MA","1600000US2567000","Norfolk, VA","Grand Rapids, MI","Worcester, MA","Fort Lauderdale, FL","Garland, TX"
"Springfield (MO)","MO","1600000US2970000","Shreveport, LA","Jackson, MS","Rockford, IL","Montgomery, AL","Port St. Lucie, FL"
"St. Louis","MO","1600000US2965000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"St. Paul","MN","1600000US2758000","Minneapolis, MN","Buffalo, NY","Pittsburgh, PA","Anaheim, CA","San Juan, PR"
"St. Petersburg","FL","1600000US1263000","Arlington, TX","Lincoln, NE","Tampa, FL","Cincinnati, OH","Toledo, OH"
"Stamford","CT","1600000US0973000","Sterling Heights, MI","Manchester, NH","Portland (ME), ME","Elgin, IL","Temecula, CA"
"Sterling Heights","MI","1600000US2676460","Elgin, IL","Stamford, CT","Lansing, MI","Hampton, VA","Carrollton, TX"
"Stockton","CA","1600000US0675000","Anchorage, AK","Aurora (CO), CO","Bakersfield, CA","Corpus Christi, TX","Fort Wayne, IN"
"Sunnyvale","CA","1600000US0677000","Santa Clara, CA","Torrance, CA","Orange, CA","Alexandria, VA","Burbank, CA"
"Surprise","AZ","1600000US0471510","Victorville, CA","Cheyenne, WY","Billings, MT","Norman, OK","Killeen, TX"
"Syracuse","NY","1600000US3673000","Allentown, PA","Bridgeport, CT","Hartford, CT","New Haven, CT","Wilmington (DE), DE"
"Tacoma","WA","1600000US5370000","Moreno Valley, CA","Oceanside, CA","Glendale (AZ), AZ","Tempe, AZ","Garland, TX"
"Tallahassee","FL","1600000US1270600","Columbus (GA), GA","Montgomery, AL","Mobile, AL","Shreveport, LA","Lubbock, TX"
"Tampa","FL","1600000US1271000","Cincinnati, OH","Toledo, OH","St. Petersburg, FL","Arlington, TX","Lincoln, NE"
"Temecula","CA","1600000US0678120","Roseville, CA","Murrieta, CA","Carlsbad, CA","West Jordan, UT","Stamford, CT"
"Tempe","AZ","1600000US0473000","Glendale (AZ), AZ","Moreno Valley, CA","Oceanside, CA","Garland, TX","Tacoma, WA"
"Thornton","CO","1600000US0877290","Westminster, CO","Arvada, CO","West Jordan, UT","Carrollton, TX","Sterling Heights, MI"
"Thousand Oaks","CA","1600000US0678582","Frisco, TX","Olathe, KS","Midland, TX","Rochester (MN), MN","Joliet, IL"
"Toledo","OH","1600000US3977000","Cincinnati, OH","Tampa, FL","Lincoln, NE","St. Petersburg, FL","Arlington, TX"
"Topeka","KS","1600000US2071000","Kansas City (KS), KS","Independence, MO","Columbia (MO), MO","Abilene, TX","Wilmington (NC), NC"
"Torrance","CA","1600000US0680000","Orange, CA","Alexandria, VA","Downey, CA","Fullerton, CA","Burbank, CA"
"Tucson","AZ","1600000US0477000","Memphis, TN","Colorado Springs, CO","Oklahoma City, OK","Kansas City (MO), MO","Virginia Beach, VA"
"Tulsa","OK","1600000US4075000","New Orleans, LA","Fort Wayne, IN","Greensboro, NC","Orlando, FL","Wichita, KS"
"Vallejo","CA","1600000US0681666","Richmond (CA), CA","Visalia, CA","Fairfield, CA","West Valley City, UT","Mesquite, TX"
"Vancouver","WA","1600000US5374060","Salem, OR","Boise City, ID","Eugene, OR","Ontario, CA","Irving, TX"
"Victorville","CA","1600000US0682590","Surprise, AZ","Cheyenne, WY","Billings, MT","Norman, OK","Denton, TX"
"Virginia Beach","VA","1600000US5182000","Kansas City (MO), MO","Oklahoma City, OK","Colorado Springs, CO","Memphis, TN","Tucson, AZ"
"Visalia","CA","1600000US0682954","Richmond (CA), CA","Vallejo, CA","West Valley City, UT","Lakewood, CO","Mesquite, TX"
"Waco","TX","1600000US4876000","Abilene, TX","Wichita Falls, TX","Beaumont, TX","Topeka, KS","Palm Bay, FL"
"Warren","MI","1600000US2684000","Clearwater, FL","Ann Arbor, MI","Hollywood, FL","Escondido, CA","Gresham, OR"
"Washington","DC","1600000US1150000","Colorado Springs, CO","Kansas City (MO), MO","Memphis, TN","Oklahoma City, OK","Tucson, AZ"
"Waterbury","CT","1600000US0980000","Burlington, VT","Manchester, NH","Portland (ME), ME","Lansing, MI","McAllen, TX"
"West Covina","CA","1600000US0684200","Fullerton, CA","Pasadena (CA), CA","Downey, CA","Burbank, CA","Costa Mesa, CA"
"West Jordan","UT","1600000US4982950","Arvada, CO","Westminster, CO","Thornton, CO","Antioch, CA","Elgin, IL"
"West Palm Beach","FL","1600000US1276600","Charleston (SC), SC","Palm Bay, FL","Gainesville, FL","Murfreesboro, TN","Springfield (IL), IL"
"West Valley City","UT","1600000US4983470","Lakewood, CO","Visalia, CA","West Jordan, UT","Vallejo, CA","Mesquite, TX"
"Westminster","CO","1600000US0883835","Arvada, CO","Thornton, CO","West Jordan, UT","Carrollton, TX","Sterling Heights, MI"
"Wichita","KS","1600000US2079000","Aurora (CO), CO","Corpus Christi, TX","Lexington-Fayette, KY","Bakersfield, CA","Tulsa, OK"
"Wichita Falls","TX","1600000US4879000","Abilene, TX","Waco, TX","Beaumont, TX","South Bend, IN","Savannah, GA"
"Wilmington (DE)","DE","1600000US1077580","Allentown, PA","Bridgeport, CT","New Haven, CT","Miami Gardens, FL","West Covina, CA"
"Wilmington (NC)","NC","1600000US3774440","Columbia (SC), SC","High Point, NC","Savannah, GA","Dayton, OH","Topeka, KS"
"Winston-Salem","NC","1600000US3775000","Fayetteville, NC","Knoxville, TN","Chattanooga, TN","Mobile, AL","Lubbock, TX"
"Worcester","MA","1600000US2582000","Fort Lauderdale, FL","Garland, TX","Tempe, AZ","Glendale (AZ), AZ","Tacoma, WA"
"Yonkers","NY","1600000US3684000","Amarillo, TX","Birmingham, AL","Brownsville, TX","Cape Coral, FL","Chattanooga, TN"
