"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Cincinnati","OH","1600000US3915000","Fort Wayne, IN","Lexington-Fayette, KY","Toledo, OH","Cleveland, OH","St. Louis, MO"
"Clarksville","TN","1600000US4715160","Charleston (WV), WV","Murfreesboro, TN","Peoria (IL), IL","Springfield (IL), IL","Columbia (MO), MO"
"Clearwater","FL","1600000US1212875","Charleston (SC), SC","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA"
"Cleveland","OH","1600000US3916000","Fort Wayne, IN","Lexington-Fayette, KY","Cincinnati, OH","Toledo, OH","Buffalo, NY"
"Colorado Springs","CO","1600000US0816000","Oklahoma City, OK","Albuquerque, NM","El Paso, TX","Omaha, NE","Denver, CO"
"Columbia (MO)","MO","1600000US2915670","Independence, MO","Kansas City (KS), KS","Topeka, KS","Cedar Rapids, IA","Clarksville, TN"
"Columbia (SC)","SC","1600000US4516000","Gainesville, FL","High Point, NC","Savannah, GA","Wilmington (NC), NC","Charleston (SC), SC"
"Columbus (GA)","GA","1600000US1319000","Birmingham, AL","Chattanooga, TN","Fayetteville, NC","Jackson, MS","Knoxville, TN"
"Columbus (OH)","OH","1600000US3918000","Indianapolis, IN","Chicago, IL","Detroit, MI","Washington, DC","Buffalo, NY"
"Concord","CA","1600000US0616000","Thousand Oaks, CA","Antioch, CA","Fairfield, CA","Richmond (CA), CA","Roseville, CA"
"Coral Springs","FL","1600000US1214400","Charleston (SC), SC","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA"
"Corona","CA","1600000US0616350","Irvine, CA","Ontario, CA","San Bernardino, CA","Fontana, CA","Moreno Valley, CA"
"Corpus Christi","TX","1600000US4817000","Arlington, TX","New Orleans, LA","Plano, TX","Baton Rouge, LA","Brownsville, TX"
"Costa Mesa","CA","1600000US0616532","Burbank, CA","Downey, CA","Fullerton, CA","Pasadena (CA), CA","West Covina, CA"
"Dallas","TX","1600000US4819000","Houston, TX","San Antonio, TX","Austin, TX","Fort Worth, TX","Oklahoma City, OK"
"Daly City","CA","1600000US0617918","Thousand Oaks, CA","Antioch, CA","Fairfield, CA","Richmond (CA), CA","Roseville, CA"
"Davenport","IA","1600000US1919000","Cedar Rapids, IA","Peoria (IL), IL","Springfield (IL), IL","Columbia (MO), MO","Green Bay, WI"
"Dayton","OH","1600000US3921000","South Bend, IN","Charleston (WV), WV","Clarksville, TN","Murfreesboro, TN","Peoria (IL), IL"
"Denton","TX","1600000US4819972","Killeen, TX","Norman, OK","Abilene, TX","Beaumont, TX","Midland, TX"
"Denver","CO","1600000US0820000","Albuquerque, NM","Colorado Springs, CO","Oklahoma City, OK","Omaha, NE","Aurora (CO), CO"
"Des Moines","IA","1600000US1921000","Overland Park, KS","Rockford, IL","Sioux Falls, SD","Springfield (MO), MO","Madison, WI"
"Detroit","MI","1600000US2622000","Milwaukee, WI","Buffalo, NY","Cincinnati, OH","Cleveland, OH","Columbus (OH), OH"
"Downey","CA","1600000US0619766","Burbank, CA","Costa Mesa, CA","Fullerton, CA","Pasadena (CA), CA","West Covina, CA"
"Durham","NC","1600000US3719000","Chattanooga, TN","Chesapeake, VA","Fayetteville, NC","Knoxville, TN","Winston-Salem, NC"
"El Monte","CA","1600000US0622230","Simi Valley, CA","Burbank, CA","Costa Mesa, CA","Downey, CA","Fullerton, CA"
"El Paso","TX","1600000US4824000","Colorado Springs, CO","Tucson, AZ","Albuquerque, NM","Mesa, AZ","Denver, CO"
"Elgin","IL","1600000US1723074","Cedar Rapids, IA","Columbia (MO), MO","Davenport, IA","Dayton, OH","Green Bay, WI"
"Elizabeth","NJ","1600000US3421000","Burlington, VT","Hampton, VA","Manchester, NH","Stamford, CT","Waterbury, CT"
"Elk Grove","CA","1600000US0622020","Lancaster, CA","Palmdale, CA","Reno, NV","Fremont, CA","Hayward, CA"
"Escondido","CA","1600000US0622804","Carlsbad, CA","Murrieta, CA","Temecula, CA","Costa Mesa, CA","Downey, CA"
"Eugene","OR","1600000US4123850","Spokane, WA","Boise City, ID","Salem, OR","Vancouver, WA","Hayward, CA"
"Evansville","IN","1600000US1822000","Charleston (WV), WV","Clarksville, TN","Columbia (MO), MO","Davenport, IA","Dayton, OH"
"Everett","WA","1600000US5322640","Richmond (CA), CA","Vallejo, CA","West Valley City, UT","Antioch, CA","Fairfield, CA"
"Fairfield","CA","1600000US0623182","Antioch, CA","Richmond (CA), CA","Roseville, CA","Vallejo, CA","Visalia, CA"
