"city","state","geo.id","peer.1","peer.2","peer.3","peer.4","peer.5"
"Salinas","CA","1600000US0664224","Lancaster, CA","Reno, NV","Elk Grove, CA","Fremont, CA","Hayward, CA"
"Salt Lake City","UT","1600000US4967000","North Las Vegas, NV","Peoria (AZ), AZ","Reno, NV","Scottsdale, AZ","Boise City, ID"
"San Antonio","TX","1600000US4865000","Dallas, TX","Houston, TX","Austin, TX","Fort Worth, TX","Oklahoma City, OK"
"San Bernardino","CA","1600000US0665000","Lancaster, CA","Palmdale, CA","Irvine, CA","Ontario, CA","Corona, CA"
"San Buenaventura","CA","1600000US0665042","Thousand Oaks, CA","Simi Valley, CA","Burbank, CA","Costa Mesa, CA","Downey, CA"
"San Diego","CA","1600000US0666000","Long Beach, CA","Anaheim, CA","Chula Vista, CA","Riverside, CA","Santa Ana, CA"
"San Francisco","CA","1600000US0667000","Fresno, CA","Oakland, CA","Sacramento, CA","San Jose, CA","Bakersfield, CA"
"San Jose","CA","1600000US0668000","San Francisco, CA","Fresno, CA","Oakland, CA","Sacramento, CA","Bakersfield, CA"
"San Juan","PR","1600000US7276770","Orlando, FL","St. Petersburg, FL","Tampa, FL","Bayam<U+0086>n, PR","Cape Coral, FL"
"Santa Ana","CA","1600000US0669000","Anaheim, CA","Riverside, CA","Corona, CA","Fontana, CA","Garden Grove, CA"
"Santa Clara","CA","1600000US0669084","Thousand Oaks, CA","Antioch, CA","Fairfield, CA","Richmond (CA), CA","Roseville, CA"
"Santa Clarita","CA","1600000US0669088","Lancaster, CA","Palmdale, CA","Ontario, CA","Corona, CA","Fontana, CA"
"Santa Rosa","CA","1600000US0670098","Lancaster, CA","Reno, NV","Elk Grove, CA","Fremont, CA","Hayward, CA"
"Savannah","GA","1600000US1369000","Columbia (SC), SC","Gainesville, FL","High Point, NC","Palm Bay, FL","Wilmington (NC), NC"
"Scottsdale","AZ","1600000US0465000","North Las Vegas, NV","Peoria (AZ), AZ","Irvine, CA","Ontario, CA","San Bernardino, CA"
"Seattle","WA","1600000US5363000","Oakland, CA","Portland (OR), OR","Sacramento, CA","San Francisco, CA","Stockton, CA"
"Shreveport","LA","1600000US2270000","Jackson, MS","Springfield (MO), MO","Grand Prairie, TX","Little Rock, AR","McKinney, TX"
"Simi Valley","CA","1600000US0672016","Thousand Oaks, CA","San Buenaventura, CA","Burbank, CA","Costa Mesa, CA","Downey, CA"
"Sioux Falls","SD","1600000US4659020","Des Moines, IA","Overland Park, KS","Rockford, IL","Fort Collins, CO","Madison, WI"
"South Bend","IN","1600000US1871000","Dayton, OH","Green Bay, WI","Cedar Rapids, IA","Davenport, IA","Peoria (IL), IL"
"Spokane","WA","1600000US5367000","Eugene, OR","Boise City, ID","Salem, OR","Vancouver, WA","Elk Grove, CA"
"Springfield (IL)","IL","1600000US1772000","Cedar Rapids, IA","Clarksville, TN","Davenport, IA","Peoria (IL), IL","Columbia (MO), MO"
"Springfield (MA)","MA","1600000US2567000","Newport News, VA","Worcester, MA","Providence, RI","Rochester (NY), NY","Yonkers, NY"
"Springfield (MO)","MO","1600000US2970000","Shreveport, LA","Des Moines, IA","Little Rock, AR","Overland Park, KS","McKinney, TX"
"St. Louis","MO","1600000US2965000","Cincinnati, OH","Fort Wayne, IN","Lexington-Fayette, KY","Aurora (IL), IL","Des Moines, IA"
"St. Paul","MN","1600000US2758000","Lincoln, NE","Minneapolis, MN","Aurora (IL), IL","Des Moines, IA","Grand Rapids, MI"
"St. Petersburg","FL","1600000US1263000","New Orleans, LA","Orlando, FL","Tampa, FL","Atlanta, GA","Birmingham, AL"
"Stamford","CT","1600000US0973000","Hampton, VA","Manchester, NH","Portland (ME), ME","Burlington, VT","Waterbury, CT"
"Sterling Heights","MI","1600000US2676460","Charleston (WV), WV","Dayton, OH","Green Bay, WI","Joliet, IL","Peoria (IL), IL"
"Stockton","CA","1600000US0675000","Bakersfield, CA","Elk Grove, CA","Fremont, CA","Fresno, CA","Hayward, CA"
"Sunnyvale","CA","1600000US0677000","Thousand Oaks, CA","Antioch, CA","Fairfield, CA","Richmond (CA), CA","Roseville, CA"
"Surprise","AZ","1600000US0471510","Victorville, CA","Carlsbad, CA","Murrieta, CA","Temecula, CA","Escondido, CA"
"Syracuse","NY","1600000US3673000","Allentown, PA","Bridgeport, CT","Hartford, CT","New Haven, CT","Wilmington (DE), DE"
"Tacoma","WA","1600000US5370000","Reno, NV","Boise City, ID","Elk Grove, CA","Eugene, OR","Fremont, CA"
"Tallahassee","FL","1600000US1270600","Birmingham, AL","Chattanooga, TN","Columbus (GA), GA","Jackson, MS","Knoxville, TN"
"Tampa","FL","1600000US1271000","New Orleans, LA","Orlando, FL","St. Petersburg, FL","Atlanta, GA","Birmingham, AL"
"Temecula","CA","1600000US0678120","Victorville, CA","Carlsbad, CA","Murrieta, CA","Escondido, CA","Costa Mesa, CA"
"Tempe","AZ","1600000US0473000","Glendale (AZ), AZ","Moreno Valley, CA","Oceanside, CA","Corona, CA","Fontana, CA"
"Thornton","CO","1600000US0877290","Arvada, CO","West Jordan, UT","Westminster, CO","Lakewood, CO","West Valley City, UT"
"Thousand Oaks","CA","1600000US0678582","Simi Valley, CA","San Buenaventura, CA","Burbank, CA","Costa Mesa, CA","Downey, CA"
"Toledo","OH","1600000US3977000","Fort Wayne, IN","Lexington-Fayette, KY","Cincinnati, OH","Cleveland, OH","Buffalo, NY"
"Topeka","KS","1600000US2071000","Columbia (MO), MO","Independence, MO","Kansas City (KS), KS","Wichita Falls, TX","Cedar Rapids, IA"
"Torrance","CA","1600000US0680000","Orange, CA","Burbank, CA","Costa Mesa, CA","Downey, CA","Fullerton, CA"
"Tucson","AZ","1600000US0477000","Albuquerque, NM","El Paso, TX","Las Vegas, NV","Mesa, AZ","Chandler, AZ"
"Tulsa","OK","1600000US4075000","Arlington, TX","Lincoln, NE","Plano, TX","Wichita, KS","Amarillo, TX"
"Vallejo","CA","1600000US0681666","Richmond (CA), CA","Visalia, CA","Antioch, CA","Fairfield, CA","Roseville, CA"
"Vancouver","WA","1600000US5374060","Boise City, ID","Salem, OR","Eugene, OR","Hayward, CA","Spokane, WA"
"Victorville","CA","1600000US0682590","Murrieta, CA","Burbank, CA","Costa Mesa, CA","Downey, CA","Fullerton, CA"
"Virginia Beach","VA","1600000US5182000","Baltimore, MD","Raleigh, NC","Washington, DC","Charlotte, NC","Greensboro, NC"
"Visalia","CA","1600000US0682954","Thousand Oaks, CA","Victorville, CA","Antioch, CA","Simi Valley, CA","San Buenaventura, CA"
"Waco","TX","1600000US4876000","Abilene, TX","Beaumont, TX","Wichita Falls, TX","Denton, TX","Killeen, TX"
"Warren","MI","1600000US2684000","Charleston (WV), WV","Dayton, OH","Green Bay, WI","Joliet, IL","Peoria (IL), IL"
"Washington","DC","1600000US1150000","Baltimore, MD","Raleigh, NC","Virginia Beach, VA","Greensboro, NC","Jersey City, NJ"
"Waterbury","CT","1600000US0980000","Burlington, VT","Hampton, VA","Manchester, NH","Portland (ME), ME","Stamford, CT"
"West Covina","CA","1600000US0684200","Burbank, CA","Costa Mesa, CA","Downey, CA","Fullerton, CA","Pasadena (CA), CA"
"West Jordan","UT","1600000US4982950","Arvada, CO","Thornton, CO","Westminster, CO","Lakewood, CO","Visalia, CA"
"West Palm Beach","FL","1600000US1276600","Charleston (SC), SC","Columbia (SC), SC","Gainesville, FL","Palm Bay, FL","Savannah, GA"
"West Valley City","UT","1600000US4983470","Lakewood, CO","Visalia, CA","Arvada, CO","Provo, UT","Thornton, CO"
"Westminster","CO","1600000US0883835","Arvada, CO","Thornton, CO","West Jordan, UT","Lakewood, CO","West Valley City, UT"
"Wichita","KS","1600000US2079000","Arlington, TX","Lincoln, NE","Plano, TX","Tulsa, OK","Amarillo, TX"
"Wichita Falls","TX","1600000US4879000","Abilene, TX","Beaumont, TX","Waco, TX","Denton, TX","Killeen, TX"
"Wilmington (DE)","DE","1600000US1077580","Allentown, PA","Bridgeport, CT","Hartford, CT","New Haven, CT","Syracuse, NY"
"Wilmington (NC)","NC","1600000US3774440","Columbia (SC), SC","Gainesville, FL","High Point, NC","Savannah, GA","Charleston (SC), SC"
"Winston-Salem","NC","1600000US3775000","Chattanooga, TN","Fayetteville, NC","Knoxville, TN","Durham, NC","Chesapeake, VA"
"Worcester","MA","1600000US2582000","Newport News, VA","Springfield (MA), MA","Providence, RI","Rochester (NY), NY","Yonkers, NY"
"Yonkers","NY","1600000US3684000","Newport News, VA","Springfield (MA), MA","Worcester, MA","Providence, RI","Rochester (NY), NY"
